"cell","composite","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","sex","size","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"HeLa-S3","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH000229","GSM993515","Crawford","Duke",2,"0bd3b56c223bcccc08f64cc55d5f4a8a",,,"wgEncode",2,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonHelas3Ifng4hSimpleSignalRep2V2","IFNg4h","bigBed","SimpleSignal","wgEncodeDukeAffyExonHelas3Ifng4hSimpleSignalRep2V2.bigBed","wgEncodeDukeAffyExonHelas3Ifng4hSimpleSignalRep2V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHelas3Ifng4hSimpleSignalRep2V2.bigBed"
"HeLa-S3","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-12-14#,#2009-12-16#,#2010-09-16#,"wgEncodeEH000227",,"Crawford","Duke",1,"796fc8bbc234bc2069f1eb348262ca9b","revoked - data was produced with artifacts, get the V2 for clean data","hg18","wgEncode",1,,"2.2M",3200,,"wgEncodeDukeAffyExonHelas3SimpleSignalRep1","None","broadPeak","SimpleSignal","wgEncodeDukeAffyExonHelas3SimpleSignalRep1.broadPeak.gz","wgEncodeDukeAffyExonHelas3SimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHelas3SimpleSignalRep1.broadPeak.gz"
"HeLa-S3","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH000227","GSM993509","Crawford","Duke",2,"b7bfa24c4b17cc71230efd9991430993",,,"wgEncode",1,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonHelas3SimpleSignalRep1V2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHelas3SimpleSignalRep1V2.bigBed","wgEncodeDukeAffyExonHelas3SimpleSignalRep1V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHelas3SimpleSignalRep1V2.bigBed"
"HeLa-S3","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-12-14#,#2009-12-16#,#2010-09-16#,"wgEncodeEH000227",,"Crawford","Duke",1,"7d8edf47f3e592345ceab3477d80ddb5","revoked - data was produced with artifacts, get the V2 for clean data","hg18","wgEncode",2,,"2.2M",3200,,"wgEncodeDukeAffyExonHelas3SimpleSignalRep2","None","broadPeak","SimpleSignal","wgEncodeDukeAffyExonHelas3SimpleSignalRep2.broadPeak.gz","wgEncodeDukeAffyExonHelas3SimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHelas3SimpleSignalRep2.broadPeak.gz"
"HeLa-S3","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH000227","GSM993510","Crawford","Duke",2,"605d2c9712eb306dcd09db0793761f29",,,"wgEncode",2,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonHelas3SimpleSignalRep2V2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHelas3SimpleSignalRep2V2.bigBed","wgEncodeDukeAffyExonHelas3SimpleSignalRep2V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHelas3SimpleSignalRep2V2.bigBed"
"HeLa-S3","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-12-14#,#2009-12-16#,#2010-09-16#,"wgEncodeEH000227",,"Crawford","Duke",1,"992e52a1121cc61b4faf858fe4c41077","revoked - data was produced with artifacts, get the V2 for clean data","hg18","wgEncode",3,,"2.2M",3200,,"wgEncodeDukeAffyExonHelas3SimpleSignalRep3","None","broadPeak","SimpleSignal","wgEncodeDukeAffyExonHelas3SimpleSignalRep3.broadPeak.gz","wgEncodeDukeAffyExonHelas3SimpleSignalRep3.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHelas3SimpleSignalRep3.broadPeak.gz"
"HeLa-S3","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH000227","GSM993511","Crawford","Duke",2,"4a4a3057f26c3c13c8ddcdc8ef0079b5",,,"wgEncode",3,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonHelas3SimpleSignalRep3V2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHelas3SimpleSignalRep3V2.bigBed","wgEncodeDukeAffyExonHelas3SimpleSignalRep3V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHelas3SimpleSignalRep3V2.bigBed"
"Hepatocytes","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH001069","GSM993516","Crawford","Duke",2,"be80d13e2a3b8dabb206f3ec84118de8",,,"wgEncode",1,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonHepatoSimpleSignalRep1V2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHepatoSimpleSignalRep1V2.bigBed","wgEncodeDukeAffyExonHepatoSimpleSignalRep1V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHepatoSimpleSignalRep1V2.bigBed"
"Hepatocytes","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH001069","GSM993517","Crawford","Duke",2,"f30a69a528e079ab4b3404fd7e9ee017",,,"wgEncode",2,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonHepatoSimpleSignalRep2V2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHepatoSimpleSignalRep2V2.bigBed","wgEncodeDukeAffyExonHepatoSimpleSignalRep2V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHepatoSimpleSignalRep2V2.bigBed"
"Hepatocytes","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-12-14#,#2011-09-14#,"wgEncodeEH001069",,"Crawford","Duke",1,"344fd70a9e1019be90c65774128473e1","revoked - data was produced with artifacts, get the V2 for clean data","hg19","wgEncode",1,,"2.2M",3200,,"wgEncodeDukeAffyExonHepatocytesSimpleSignalRep1","None","broadPeak","SimpleSignal","wgEncodeDukeAffyExonHepatocytesSimpleSignalRep1.broadPeak.gz","wgEncodeDukeAffyExonHepatocytesSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHepatocytesSimpleSignalRep1.broadPeak.gz"
"Hepatocytes","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-12-14#,#2011-09-14#,"wgEncodeEH001069",,"Crawford","Duke",1,"499916e7e0a7c0d2f4485e85c6057a19","revoked - data was produced with artifacts, get the V2 for clean data","hg19","wgEncode",2,,"2.2M",3200,,"wgEncodeDukeAffyExonHepatocytesSimpleSignalRep2","None","broadPeak","SimpleSignal","wgEncodeDukeAffyExonHepatocytesSimpleSignalRep2.broadPeak.gz","wgEncodeDukeAffyExonHepatocytesSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHepatocytesSimpleSignalRep2.broadPeak.gz"
"HepG2","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-12-14#,#2009-12-16#,#2010-09-16#,"wgEncodeEH000230",,"Crawford","Duke",1,"6a815aeb398ce30c17d6d51f206ac98b","revoked - data was produced with artifacts, get the V2 for clean data","hg18","wgEncode",1,,"2.2M",3200,,"wgEncodeDukeAffyExonHepg2SimpleSignalRep1","None","broadPeak","SimpleSignal","wgEncodeDukeAffyExonHepg2SimpleSignalRep1.broadPeak.gz","wgEncodeDukeAffyExonHepg2SimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHepg2SimpleSignalRep1.broadPeak.gz"
"HepG2","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH000230","GSM993518","Crawford","Duke",2,"2ffef8194c4dd935c334d2e55cb747ac",,,"wgEncode",1,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonHepg2SimpleSignalRep1V2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHepg2SimpleSignalRep1V2.bigBed","wgEncodeDukeAffyExonHepg2SimpleSignalRep1V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHepg2SimpleSignalRep1V2.bigBed"
"HepG2","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-12-14#,#2009-12-16#,#2010-09-16#,"wgEncodeEH000230",,"Crawford","Duke",1,"f2a1a759b1395c6bd7fc5f654ac87e20","revoked - data was produced with artifacts, get the V2 for clean data","hg18","wgEncode",2,,"2.2M",3200,,"wgEncodeDukeAffyExonHepg2SimpleSignalRep2","None","broadPeak","SimpleSignal","wgEncodeDukeAffyExonHepg2SimpleSignalRep2.broadPeak.gz","wgEncodeDukeAffyExonHepg2SimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHepg2SimpleSignalRep2.broadPeak.gz"
"HepG2","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH000230","GSM993519","Crawford","Duke",2,"2066943ed1de4c643bb2d75c9620d19b",,,"wgEncode",2,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonHepg2SimpleSignalRep2V2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHepg2SimpleSignalRep2V2.bigBed","wgEncodeDukeAffyExonHepg2SimpleSignalRep2V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHepg2SimpleSignalRep2V2.bigBed"
"HepG2","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-12-14#,#2009-12-16#,#2010-09-16#,"wgEncodeEH000230",,"Crawford","Duke",1,"59613aad65dc38aa54bb8ebc540ec87c","revoked - data was produced with artifacts, get the V2 for clean data","hg18","wgEncode",3,,"2.2M",3200,,"wgEncodeDukeAffyExonHepg2SimpleSignalRep3","None","broadPeak","SimpleSignal","wgEncodeDukeAffyExonHepg2SimpleSignalRep3.broadPeak.gz","wgEncodeDukeAffyExonHepg2SimpleSignalRep3.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHepg2SimpleSignalRep3.broadPeak.gz"
"HepG2","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH000230","GSM993520","Crawford","Duke",2,"305f68dd1aa158eb3e8663ac8e667a1a",,,"wgEncode",3,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonHepg2SimpleSignalRep3V2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHepg2SimpleSignalRep3V2.bigBed","wgEncodeDukeAffyExonHepg2SimpleSignalRep3V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHepg2SimpleSignalRep3V2.bigBed"
"HMEC","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-12-14#,#2009-12-16#,#2010-09-16#,"wgEncodeEH000225",,"Crawford","Duke",1,"ff6a35ccbf3b2f667f00cb1d18fe730a","revoked - data was produced with artifacts, get the V2 for clean data","hg18","wgEncode",1,,"2.2M",3200,,"wgEncodeDukeAffyExonHmecSimpleSignalRep1","None","broadPeak","SimpleSignal","wgEncodeDukeAffyExonHmecSimpleSignalRep1.broadPeak.gz","wgEncodeDukeAffyExonHmecSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHmecSimpleSignalRep1.broadPeak.gz"
"HMEC","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH000225","GSM993521","Crawford","Duke",2,"339bafbf6fd5cc7da3fcd27ecd667b78",,,"wgEncode",1,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonHmecSimpleSignalRep1V2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHmecSimpleSignalRep1V2.bigBed","wgEncodeDukeAffyExonHmecSimpleSignalRep1V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHmecSimpleSignalRep1V2.bigBed"
"HMEC","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-12-14#,#2009-12-16#,#2010-09-16#,"wgEncodeEH000225",,"Crawford","Duke",1,"b549c2e79aaff116841fd5ab487b38de","revoked - data was produced with artifacts, get the V2 for clean data","hg18","wgEncode",2,,"2.2M",3200,,"wgEncodeDukeAffyExonHmecSimpleSignalRep2","None","broadPeak","SimpleSignal","wgEncodeDukeAffyExonHmecSimpleSignalRep2.broadPeak.gz","wgEncodeDukeAffyExonHmecSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHmecSimpleSignalRep2.broadPeak.gz"
"HMEC","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH000225","GSM993522","Crawford","Duke",2,"a528c30fe75d38a65e95c1a8730d1614",,,"wgEncode",2,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonHmecSimpleSignalRep2V2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHmecSimpleSignalRep2V2.bigBed","wgEncodeDukeAffyExonHmecSimpleSignalRep2V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHmecSimpleSignalRep2V2.bigBed"
"HPDE6-E6E7","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-12-14#,#2011-09-14#,"wgEncodeEH001065",,"Crawford","Duke",1,"8dd46b0cd45b51735ff55a129762d295","revoked - data was produced with artifacts, get the V2 for clean data","hg19","wgEncode",1,,"2.2M",3200,,"wgEncodeDukeAffyExonHpde6e6e7SimpleSignalRep1","None","broadPeak","SimpleSignal","wgEncodeDukeAffyExonHpde6e6e7SimpleSignalRep1.broadPeak.gz","wgEncodeDukeAffyExonHpde6e6e7SimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHpde6e6e7SimpleSignalRep1.broadPeak.gz"
"HPDE6-E6E7","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH001065","GSM993523","Crawford","Duke",2,"13a8a604cf5d38b54fa8c6d299a16b02",,,"wgEncode",1,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonHpde6e6e7SimpleSignalRep1V2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHpde6e6e7SimpleSignalRep1V2.bigBed","wgEncodeDukeAffyExonHpde6e6e7SimpleSignalRep1V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHpde6e6e7SimpleSignalRep1V2.bigBed"
"HPDE6-E6E7","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-12-14#,#2011-09-14#,"wgEncodeEH001065",,"Crawford","Duke",1,"32bfaa9f2d4d1db10818aab69ac13527","revoked - data was produced with artifacts, get the V2 for clean data","hg19","wgEncode",2,,"2.2M",3200,,"wgEncodeDukeAffyExonHpde6e6e7SimpleSignalRep2","None","broadPeak","SimpleSignal","wgEncodeDukeAffyExonHpde6e6e7SimpleSignalRep2.broadPeak.gz","wgEncodeDukeAffyExonHpde6e6e7SimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHpde6e6e7SimpleSignalRep2.broadPeak.gz"
"HPDE6-E6E7","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH001065","GSM993524","Crawford","Duke",2,"62b8e98e8b3c53db7d1dd5ddef6f615c",,,"wgEncode",2,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonHpde6e6e7SimpleSignalRep2V2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHpde6e6e7SimpleSignalRep2V2.bigBed","wgEncodeDukeAffyExonHpde6e6e7SimpleSignalRep2V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHpde6e6e7SimpleSignalRep2V2.bigBed"
"HSMM","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-12-14#,#2011-09-14#,"wgEncodeEH001066",,"Crawford","Duke",1,"ad1a4bfa9936c139c9216c7cb7bcec9f","revoked - data was produced with artifacts, get the V2 for clean data","hg19","wgEncode",1,,"2.2M",3200,,"wgEncodeDukeAffyExonHsmmSimpleSignalRep1","None","broadPeak","SimpleSignal","wgEncodeDukeAffyExonHsmmSimpleSignalRep1.broadPeak.gz","wgEncodeDukeAffyExonHsmmSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHsmmSimpleSignalRep1.broadPeak.gz"
"HSMM","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH001066","GSM993525","Crawford","Duke",2,"2de9c9ab1c82fbbb5425e732a8138f09",,,"wgEncode",1,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonHsmmSimpleSignalRep1V2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHsmmSimpleSignalRep1V2.bigBed","wgEncodeDukeAffyExonHsmmSimpleSignalRep1V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHsmmSimpleSignalRep1V2.bigBed"
"HSMM","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-12-14#,#2011-09-14#,"wgEncodeEH001066",,"Crawford","Duke",1,"b962c4b1c8442d3cde99faa686a36cf0","revoked - data was produced with artifacts, get the V2 for clean data","hg19","wgEncode",2,,"2.2M",3200,,"wgEncodeDukeAffyExonHsmmSimpleSignalRep2","None","broadPeak","SimpleSignal","wgEncodeDukeAffyExonHsmmSimpleSignalRep2.broadPeak.gz","wgEncodeDukeAffyExonHsmmSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHsmmSimpleSignalRep2.broadPeak.gz"
"HSMM","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH001066","GSM993526","Crawford","Duke",2,"d56dc8d6829d5ebbb67190717a6d7575",,,"wgEncode",2,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonHsmmSimpleSignalRep2V2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHsmmSimpleSignalRep2V2.bigBed","wgEncodeDukeAffyExonHsmmSimpleSignalRep2V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHsmmSimpleSignalRep2V2.bigBed"
"HSMM","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-12-14#,#2011-09-14#,"wgEncodeEH001066",,"Crawford","Duke",1,"68359e4bb3f2efdaa16c66c62fc42c80","revoked - data was produced with artifacts, get the V2 for clean data","hg19","wgEncode",3,,"2.2M",3200,,"wgEncodeDukeAffyExonHsmmSimpleSignalRep3","None","broadPeak","SimpleSignal","wgEncodeDukeAffyExonHsmmSimpleSignalRep3.broadPeak.gz","wgEncodeDukeAffyExonHsmmSimpleSignalRep3.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHsmmSimpleSignalRep3.broadPeak.gz"
"HSMM","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH001066","GSM993527","Crawford","Duke",2,"366e23e231e50138a999fe0e19f2a42e",,,"wgEncode",3,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonHsmmSimpleSignalRep3V2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHsmmSimpleSignalRep3V2.bigBed","wgEncodeDukeAffyExonHsmmSimpleSignalRep3V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHsmmSimpleSignalRep3V2.bigBed"
"HSMM_FSHD","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2012-03-16#,#2012-12-16#,"wgEncodeEH002693","GSM993528","Crawford","Duke",2,"5354adae2f9edc7c0530bc97b755338e",,,"wgEncode",1,,"1.2M",6080,,"wgEncodeDukeAffyExonHsmmfshdSimpleSignalRep1","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHsmmfshdSimpleSignalRep1.bigBed","wgEncodeDukeAffyExonHsmmfshdSimpleSignalRep1.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHsmmfshdSimpleSignalRep1.bigBed"
"HSMM_FSHD","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2012-03-16#,#2012-12-16#,"wgEncodeEH002693","GSM993529","Crawford","Duke",2,"c269f27796b228f720dfab26340287bb",,,"wgEncode",2,,"1.2M",6080,,"wgEncodeDukeAffyExonHsmmfshdSimpleSignalRep2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHsmmfshdSimpleSignalRep2.bigBed","wgEncodeDukeAffyExonHsmmfshdSimpleSignalRep2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHsmmfshdSimpleSignalRep2.bigBed"
"HSMM_FSHD","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2012-03-16#,#2012-12-16#,"wgEncodeEH002693","GSM993530","Crawford","Duke",2,"fb43dfc8889e7cf43b600dbe24b6d277",,,"wgEncode",3,,"1.2M",6080,,"wgEncodeDukeAffyExonHsmmfshdSimpleSignalRep3","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHsmmfshdSimpleSignalRep3.bigBed","wgEncodeDukeAffyExonHsmmfshdSimpleSignalRep3.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHsmmfshdSimpleSignalRep3.bigBed"
"HSMMtube","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-12-14#,#2011-09-14#,"wgEncodeEH001067",,"Crawford","Duke",1,"257dd7040cf1e50deaae618ba8cc2a5a","revoked - data was produced with artifacts, get the V2 for clean data","hg19","wgEncode",1,,"2.2M",3200,,"wgEncodeDukeAffyExonHsmmtSimpleSignalRep1","None","broadPeak","SimpleSignal","wgEncodeDukeAffyExonHsmmtSimpleSignalRep1.broadPeak.gz","wgEncodeDukeAffyExonHsmmtSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHsmmtSimpleSignalRep1.broadPeak.gz"
"HSMMtube","wgEncodeDukeAffyExon","AffyExonArray","ENCODE Mar 2012 Freeze",,#2009-12-16#,#2010-09-16#,"wgEncodeEH001067","GSM993531","Crawford","Duke",2,"51da1cb54ad89378508f42dd546e1218",,,"wgEncode",1,,"1.2M",6079,"V2 - Experimental re-agent differences caused an artifact in the original processing of these data. This has been corrected. See updated methods for details.","wgEncodeDukeAffyExonHsmmtSimpleSignalRep1V2","None","bigBed","SimpleSignal","wgEncodeDukeAffyExonHsmmtSimpleSignalRep1V2.bigBed","wgEncodeDukeAffyExonHsmmtSimpleSignalRep1V2.bigBed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeDukeAffyExon/wgEncodeDukeAffyExonHsmmtSimpleSignalRep1V2.bigBed"
