"cell_type","experiment","fname","url"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","ChIP-Seq Input","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.1.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/ChIP-Seq_Input/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.1.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","ChIP-Seq Input","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/ChIP-Seq_Input/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.92.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","ChIP-Seq Input","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/ChIP-Seq_Input/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.93.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K27me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K27me3.1.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K27me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K27me3.1.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K27me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K27me3.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K27me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K27me3.92.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K36me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K36me3.1.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K36me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K36me3.1.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K36me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K36me3.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K36me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K36me3.92.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K36me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K36me3.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K36me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K36me3.93.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K4me1","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me1.1.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K4me1/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me1.1.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K4me1","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me1.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K4me1/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me1.92.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K4me1","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me1.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K4me1/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me1.93.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K4me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me3.1.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K4me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me3.1.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K4me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me3.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K4me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me3.92.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K4me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me3.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K4me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K4me3.93.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K9ac","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9ac.1.2.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K9ac/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9ac.1.2.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K9ac","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9ac.1.3.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K9ac/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9ac.1.3.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K9ac","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9ac.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K9ac/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9ac.92.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K9ac","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9ac.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K9ac/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9ac.93.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K9me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9me3.1.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K9me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9me3.1.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K9me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9me3.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K9me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9me3.92.wig.gz"
"Adipose Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K9me3","BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9me3.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K9me3/BI.Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K9me3.93.wig.gz"
"Adipose Nuclei","ChIP-Seq Input","BI.Adipose_Nuclei.Input.7.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/ChIP-Seq_Input/BI.Adipose_Nuclei.Input.7.wig.gz"
"Adipose Nuclei","ChIP-Seq Input","BI.Adipose_Nuclei.Input.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/ChIP-Seq_Input/BI.Adipose_Nuclei.Input.92.wig.gz"
"Adipose Nuclei","ChIP-Seq Input","BI.Adipose_Nuclei.Input.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/ChIP-Seq_Input/BI.Adipose_Nuclei.Input.93.wig.gz"
"Adipose Nuclei","ChIP-Seq Input","BI.Adipose_Nuclei.Input.94.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/ChIP-Seq_Input/BI.Adipose_Nuclei.Input.94.wig.gz"
"Adipose Nuclei","ChIP-Seq Input","BI.Adipose_Nuclei.Input.95.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/ChIP-Seq_Input/BI.Adipose_Nuclei.Input.95.wig.gz"
"Adipose Nuclei","Histone H3K27me3","BI.Adipose_Nuclei.H3K27me3.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K27me3/BI.Adipose_Nuclei.H3K27me3.92.wig.gz"
"Adipose Nuclei","Histone H3K27me3","BI.Adipose_Nuclei.H3K27me3.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K27me3/BI.Adipose_Nuclei.H3K27me3.93.wig.gz"
"Adipose Nuclei","Histone H3K27me3","BI.Adipose_Nuclei.H3K27me3.94.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K27me3/BI.Adipose_Nuclei.H3K27me3.94.wig.gz"
"Adipose Nuclei","Histone H3K27me3","BI.Adipose_Nuclei.H3K27me3.95.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K27me3/BI.Adipose_Nuclei.H3K27me3.95.wig.gz"
"Adipose Nuclei","Histone H3K36me3","BI.Adipose_Nuclei.H3K36me3.7.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K36me3/BI.Adipose_Nuclei.H3K36me3.7.wig.gz"
"Adipose Nuclei","Histone H3K36me3","BI.Adipose_Nuclei.H3K36me3.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K36me3/BI.Adipose_Nuclei.H3K36me3.92.wig.gz"
"Adipose Nuclei","Histone H3K36me3","BI.Adipose_Nuclei.H3K36me3.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K36me3/BI.Adipose_Nuclei.H3K36me3.93.wig.gz"
"Adipose Nuclei","Histone H3K36me3","BI.Adipose_Nuclei.H3K36me3.94.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K36me3/BI.Adipose_Nuclei.H3K36me3.94.wig.gz"
"Adipose Nuclei","Histone H3K36me3","BI.Adipose_Nuclei.H3K36me3.95.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K36me3/BI.Adipose_Nuclei.H3K36me3.95.wig.gz"
"Adipose Nuclei","Histone H3K4me1","BI.Adipose_Nuclei.H3K4me1.7.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K4me1/BI.Adipose_Nuclei.H3K4me1.7.wig.gz"
"Adipose Nuclei","Histone H3K4me1","BI.Adipose_Nuclei.H3K4me1.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K4me1/BI.Adipose_Nuclei.H3K4me1.92.wig.gz"
"Adipose Nuclei","Histone H3K4me1","BI.Adipose_Nuclei.H3K4me1.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K4me1/BI.Adipose_Nuclei.H3K4me1.93.wig.gz"
"Adipose Nuclei","Histone H3K4me1","BI.Adipose_Nuclei.H3K4me1.94.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K4me1/BI.Adipose_Nuclei.H3K4me1.94.wig.gz"
"Adipose Nuclei","Histone H3K4me1","BI.Adipose_Nuclei.H3K4me1.95.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K4me1/BI.Adipose_Nuclei.H3K4me1.95.wig.gz"
"Adipose Nuclei","Histone H3K4me3","BI.Adipose_Nuclei.H3K4me3.7.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K4me3/BI.Adipose_Nuclei.H3K4me3.7.wig.gz"
"Adipose Nuclei","Histone H3K4me3","BI.Adipose_Nuclei.H3K4me3.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K4me3/BI.Adipose_Nuclei.H3K4me3.92.wig.gz"
"Adipose Nuclei","Histone H3K4me3","BI.Adipose_Nuclei.H3K4me3.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K4me3/BI.Adipose_Nuclei.H3K4me3.93.wig.gz"
"Adipose Nuclei","Histone H3K4me3","BI.Adipose_Nuclei.H3K4me3.94.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K4me3/BI.Adipose_Nuclei.H3K4me3.94.wig.gz"
"Adipose Nuclei","Histone H3K4me3","BI.Adipose_Nuclei.H3K4me3.95.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K4me3/BI.Adipose_Nuclei.H3K4me3.95.wig.gz"
"Adipose Nuclei","Histone H3K9ac","BI.Adipose_Nuclei.H3K9ac.7.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K9ac/BI.Adipose_Nuclei.H3K9ac.7.wig.gz"
"Adipose Nuclei","Histone H3K9ac","BI.Adipose_Nuclei.H3K9ac.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K9ac/BI.Adipose_Nuclei.H3K9ac.92.wig.gz"
"Adipose Nuclei","Histone H3K9ac","BI.Adipose_Nuclei.H3K9ac.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K9ac/BI.Adipose_Nuclei.H3K9ac.93.wig.gz"
"Adipose Nuclei","Histone H3K9ac","BI.Adipose_Nuclei.H3K9ac.94.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K9ac/BI.Adipose_Nuclei.H3K9ac.94.wig.gz"
"Adipose Nuclei","Histone H3K9ac","BI.Adipose_Nuclei.H3K9ac.95.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K9ac/BI.Adipose_Nuclei.H3K9ac.95.wig.gz"
"Adipose Nuclei","Histone H3K9me3","BI.Adipose_Nuclei.H3K9me3.7.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K9me3/BI.Adipose_Nuclei.H3K9me3.7.wig.gz"
"Adipose Nuclei","Histone H3K9me3","BI.Adipose_Nuclei.H3K9me3.92.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K9me3/BI.Adipose_Nuclei.H3K9me3.92.wig.gz"
"Adipose Nuclei","Histone H3K9me3","BI.Adipose_Nuclei.H3K9me3.93.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K9me3/BI.Adipose_Nuclei.H3K9me3.93.wig.gz"
"Adipose Nuclei","Histone H3K9me3","BI.Adipose_Nuclei.H3K9me3.94.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K9me3/BI.Adipose_Nuclei.H3K9me3.94.wig.gz"
"Adipose Nuclei","Histone H3K9me3","BI.Adipose_Nuclei.H3K9me3.95.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adipose_Nuclei/Histone_H3K9me3/BI.Adipose_Nuclei.H3K9me3.95.wig.gz"
"Adult Kidney","ChIP-Seq Input","BI.Adult_Kidney.Input.153.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Kidney/ChIP-Seq_Input/BI.Adult_Kidney.Input.153.wig.gz"
"Adult Kidney","ChIP-Seq Input","BI.Adult_Kidney.Input.27.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Kidney/ChIP-Seq_Input/BI.Adult_Kidney.Input.27.wig.gz"
"Adult Kidney","Histone H3K36me3","BI.Adult_Kidney.H3K36me3.153.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Kidney/Histone_H3K36me3/BI.Adult_Kidney.H3K36me3.153.wig.gz"
"Adult Kidney","Histone H3K36me3","BI.Adult_Kidney.H3K36me3.27.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Kidney/Histone_H3K36me3/BI.Adult_Kidney.H3K36me3.27.wig.gz"
"Adult Kidney","Histone H3K4me1","BI.Adult_Kidney.H3K4me1.153.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Kidney/Histone_H3K4me1/BI.Adult_Kidney.H3K4me1.153.wig.gz"
"Adult Kidney","Histone H3K4me1","BI.Adult_Kidney.H3K4me1.27.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Kidney/Histone_H3K4me1/BI.Adult_Kidney.H3K4me1.27.wig.gz"
"Adult Kidney","Histone H3K4me3","BI.Adult_Kidney.H3K4me3.153.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Kidney/Histone_H3K4me3/BI.Adult_Kidney.H3K4me3.153.wig.gz"
"Adult Kidney","Histone H3K4me3","BI.Adult_Kidney.H3K4me3.27.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Kidney/Histone_H3K4me3/BI.Adult_Kidney.H3K4me3.27.wig.gz"
"Adult Kidney","Histone H3K9ac","BI.Adult_Kidney.H3K9ac.153.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Kidney/Histone_H3K9ac/BI.Adult_Kidney.H3K9ac.153.wig.gz"
"Adult Kidney","Histone H3K9ac","BI.Adult_Kidney.H3K9ac.27.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Kidney/Histone_H3K9ac/BI.Adult_Kidney.H3K9ac.27.wig.gz"
"Adult Kidney","Histone H3K9me3","BI.Adult_Kidney.H3K9me3.153.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Kidney/Histone_H3K9me3/BI.Adult_Kidney.H3K9me3.153.wig.gz"
"Adult Kidney","Histone H3K9me3","BI.Adult_Kidney.H3K9me3.27.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Kidney/Histone_H3K9me3/BI.Adult_Kidney.H3K9me3.27.wig.gz"
"Adult Kidney","Reduced Representation Bisulfite-Seq","BI.Adult_Kidney.RRBS.27.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Kidney/Reduced_Representation_Bisulfite-Seq/BI.Adult_Kidney.RRBS.27.wig.gz"
"Adult Liver","ChIP-Seq Input","BI.Adult_Liver.Input.3.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/ChIP-Seq_Input/BI.Adult_Liver.Input.3.wig.gz"
"Adult Liver","ChIP-Seq Input","BI.Adult_Liver.Input.4.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/ChIP-Seq_Input/BI.Adult_Liver.Input.4.wig.gz"
"Adult Liver","ChIP-Seq Input","BI.Adult_Liver.Input.5.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/ChIP-Seq_Input/BI.Adult_Liver.Input.5.wig.gz"
"Adult Liver","Histone H3K27me3","BI.Adult_Liver.H3K27me3.3.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/Histone_H3K27me3/BI.Adult_Liver.H3K27me3.3.wig.gz"
"Adult Liver","Histone H3K27me3","BI.Adult_Liver.H3K27me3.5.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/Histone_H3K27me3/BI.Adult_Liver.H3K27me3.5.wig.gz"
"Adult Liver","Histone H3K36me3","BI.Adult_Liver.H3K36me3.3.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/Histone_H3K36me3/BI.Adult_Liver.H3K36me3.3.wig.gz"
"Adult Liver","Histone H3K36me3","BI.Adult_Liver.H3K36me3.4.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/Histone_H3K36me3/BI.Adult_Liver.H3K36me3.4.wig.gz"
"Adult Liver","Histone H3K36me3","BI.Adult_Liver.H3K36me3.5.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/Histone_H3K36me3/BI.Adult_Liver.H3K36me3.5.wig.gz"
"Adult Liver","Histone H3K4me1","BI.Adult_Liver.H3K4me1.3.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/Histone_H3K4me1/BI.Adult_Liver.H3K4me1.3.wig.gz"
"Adult Liver","Histone H3K4me1","BI.Adult_Liver.H3K4me1.4.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/Histone_H3K4me1/BI.Adult_Liver.H3K4me1.4.wig.gz"
"Adult Liver","Histone H3K4me1","BI.Adult_Liver.H3K4me1.5.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/Histone_H3K4me1/BI.Adult_Liver.H3K4me1.5.wig.gz"
"Adult Liver","Histone H3K4me3","BI.Adult_Liver.H3K4me3.3.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/Histone_H3K4me3/BI.Adult_Liver.H3K4me3.3.wig.gz"
"Adult Liver","Histone H3K4me3","BI.Adult_Liver.H3K4me3.4.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/Histone_H3K4me3/BI.Adult_Liver.H3K4me3.4.wig.gz"
"Adult Liver","Histone H3K4me3","BI.Adult_Liver.H3K4me3.5.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/Histone_H3K4me3/BI.Adult_Liver.H3K4me3.5.wig.gz"
"Adult Liver","Histone H3K9ac","BI.Adult_Liver.H3K9ac.3.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/Histone_H3K9ac/BI.Adult_Liver.H3K9ac.3.wig.gz"
"Adult Liver","Histone H3K9ac","BI.Adult_Liver.H3K9ac.4.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/Histone_H3K9ac/BI.Adult_Liver.H3K9ac.4.wig.gz"
"Adult Liver","Histone H3K9me3","BI.Adult_Liver.H3K9me3.3.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/Histone_H3K9me3/BI.Adult_Liver.H3K9me3.3.wig.gz"
"Adult Liver","Histone H3K9me3","BI.Adult_Liver.H3K9me3.4.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/Histone_H3K9me3/BI.Adult_Liver.H3K9me3.4.wig.gz"
"Adult Liver","Histone H3K9me3","BI.Adult_Liver.H3K9me3.5.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Adult_Liver/Histone_H3K9me3/BI.Adult_Liver.H3K9me3.5.wig.gz"
"Bone Marrow Derived Mesenchymal Stem Cell Cultured Cells","ChIP-Seq Input","BI.Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.57.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/ChIP-Seq_Input/BI.Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.57.wig.gz"
"Bone Marrow Derived Mesenchymal Stem Cell Cultured Cells","ChIP-Seq Input","BI.Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.58.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/ChIP-Seq_Input/BI.Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.58.wig.gz"
"Bone Marrow Derived Mesenchymal Stem Cell Cultured Cells","ChIP-Seq Input","BI.Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.59.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/ChIP-Seq_Input/BI.Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.59.wig.gz"
"Bone Marrow Derived Mesenchymal Stem Cell Cultured Cells","ChIP-Seq Input","BI.Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.60.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/ChIP-Seq_Input/BI.Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.Input.60.wig.gz"
"Bone Marrow Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K27me3","BI.Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K27me3.57.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K27me3/BI.Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K27me3.57.wig.gz"
"Bone Marrow Derived Mesenchymal Stem Cell Cultured Cells","Histone H3K27me3","BI.Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K27me3.58.wig","http://www.genboree.org/EdaccData/Current-Release/sample-experiment/Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells/Histone_H3K27me3/BI.Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.H3K27me3.58.wig.gz"
