"antibody","cell","composite","control","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","seq_platform","set_type","sex","size","software_version","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"H3K27ac","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-05-05#,"wgEncodeEH000997","GSM733718","Bernstein","Broad",,"2526f289ef11f8b8f2f0fc57c58005e2",,"hg19","wgEncode",,,"exp",,"887K","ScriptureVPaperR3",2811,,"wgEncodeBroadHistoneH1hescH3k27acStdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescH3k27acStdPk.broadPeak.gz","wgEncodeBroadHistoneH1hescH3k27acStdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescH3k27acStdPk.broadPeak.gz"
"H3K27ac","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-06-21#,#2011-03-21#,"wgEncodeEH000997","GSM733718","Bernstein","Broad",,"e89e3efed7655c85adba862e2ef2fa11",,"hg19","wgEncode",,,"exp",,"652M",,2811,,"wgEncodeBroadHistoneH1hescH3k27acStdSig","None","bigWig","Signal","wgEncodeBroadHistoneH1hescH3k27acStdSig.bigWig","wgEncodeBroadHistoneH1hescH3k27acStdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescH3k27acStdSig.bigWig"
"H3K27me3","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH000074","GSM733748","Bernstein","Broad",,"e87748c5982ce0c3ba1a17562af463b2",,"hg18","wgEncode",,,"exp",,"426K","ScriptureVPaperR3",2812,,"wgEncodeBroadHistoneH1hescH3k27me3StdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescH3k27me3StdPk.broadPeak.gz","wgEncodeBroadHistoneH1hescH3k27me3StdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescH3k27me3StdPk.broadPeak.gz"
"H3K27me3","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2009-09-28#,#2010-06-28#,"wgEncodeEH000074","GSM733748","Bernstein","Broad",,"4267c005b8879a121af67a4ff831e238",,"hg18","wgEncode",,,"exp",,"330M",,2812,,"wgEncodeBroadHistoneH1hescH3k27me3StdSig","None","bigWig","Signal","wgEncodeBroadHistoneH1hescH3k27me3StdSig.bigWig","wgEncodeBroadHistoneH1hescH3k27me3StdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescH3k27me3StdSig.bigWig"
"H3K36me3","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH000107","GSM733725","Bernstein","Broad",,"c8c904e3d307da743ad4541332f58af7",,"hg18","wgEncode",,,"exp",,"564K","ScriptureVPaperR3",2813,,"wgEncodeBroadHistoneH1hescH3k36me3StdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescH3k36me3StdPk.broadPeak.gz","wgEncodeBroadHistoneH1hescH3k36me3StdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescH3k36me3StdPk.broadPeak.gz"
"H3K36me3","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2009-12-16#,#2010-09-16#,"wgEncodeEH000107","GSM733725","Bernstein","Broad",,"b901f6936fc8309898edded966ae287f",,"hg18","wgEncode",,,"exp",,"443M",,2813,,"wgEncodeBroadHistoneH1hescH3k36me3StdSig","None","bigWig","Signal","wgEncodeBroadHistoneH1hescH3k36me3StdSig.bigWig","wgEncodeBroadHistoneH1hescH3k36me3StdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescH3k36me3StdSig.bigWig"
"H3K4me1","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH000106","GSM733782","Bernstein","Broad",,"39c76ae70183e6e122c1f75b36022eaa",,"hg18","wgEncode",,,"exp",,"2.2M","ScriptureVPaperR3",2796,,"wgEncodeBroadHistoneH1hescH3k4me1StdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescH3k4me1StdPk.broadPeak.gz","wgEncodeBroadHistoneH1hescH3k4me1StdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescH3k4me1StdPk.broadPeak.gz"
"H3K4me1","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2009-09-30#,#2010-06-30#,"wgEncodeEH000106","GSM733782","Bernstein","Broad",,"82655f8e6a8cec482bb03f3a1810328d",,"hg18","wgEncode",,,"exp",,"411M",,2796,,"wgEncodeBroadHistoneH1hescH3k4me1StdSig","None","bigWig","Signal","wgEncodeBroadHistoneH1hescH3k4me1StdSig.bigWig","wgEncodeBroadHistoneH1hescH3k4me1StdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescH3k4me1StdSig.bigWig"
"H3K4me2","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH000108","GSM733670","Bernstein","Broad",,"adfabb7908bb4d0a8fbd22ad5602e4ef",,"hg18","wgEncode",,,"exp",,"1.2M","ScriptureVPaperR3",2814,,"wgEncodeBroadHistoneH1hescH3k4me2StdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescH3k4me2StdPk.broadPeak.gz","wgEncodeBroadHistoneH1hescH3k4me2StdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescH3k4me2StdPk.broadPeak.gz"
"H3K4me2","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2009-12-16#,#2010-09-16#,"wgEncodeEH000108","GSM733670","Bernstein","Broad",,"60021f326da7ce32ec32c1c129b644f8",,"hg18","wgEncode",,,"exp",,"372M",,2814,,"wgEncodeBroadHistoneH1hescH3k4me2StdSig","None","bigWig","Signal","wgEncodeBroadHistoneH1hescH3k4me2StdSig.bigWig","wgEncodeBroadHistoneH1hescH3k4me2StdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescH3k4me2StdSig.bigWig"
"H3K4me3","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH000086","GSM733657","Bernstein","Broad",,"26503906e4bd555bbda243fac44c0df0",,"hg18","wgEncode",,,"exp",,"553K","ScriptureVPaperR3",2815,,"wgEncodeBroadHistoneH1hescH3k4me3StdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescH3k4me3StdPk.broadPeak.gz","wgEncodeBroadHistoneH1hescH3k4me3StdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescH3k4me3StdPk.broadPeak.gz"
"H3K4me3","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2009-09-29#,#2010-06-28#,"wgEncodeEH000086","GSM733657","Bernstein","Broad",,"98d1150a5ce3e5aa17bb55c7a2fd2aa3",,"hg18","wgEncode",,,"exp",,"320M",,2815,,"wgEncodeBroadHistoneH1hescH3k4me3StdSig","None","bigWig","Signal","wgEncodeBroadHistoneH1hescH3k4me3StdSig.bigWig","wgEncodeBroadHistoneH1hescH3k4me3StdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescH3k4me3StdSig.bigWig"
"H3K79me2","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-08-10#,#2012-05-10#,"wgEncodeEH002083","GSM1003547","Bernstein","Broad",,"be827edd0d687b154613658dc012523e",,"hg19","wgEncode",,,"exp",,"528K","ScriptureVPaperR3",4751,,"wgEncodeBroadHistoneH1hescH3k79me2StdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescH3k79me2StdPk.broadPeak.gz","wgEncodeBroadHistoneH1hescH3k79me2StdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescH3k79me2StdPk.broadPeak.gz"
"H3K79me2","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-08-10#,#2012-05-10#,"wgEncodeEH002083","GSM1003547","Bernstein","Broad",,"43a8b8ecd3162f3b0d793745f5baa85f",,"hg19","wgEncode",,,"exp",,"468M",,4751,,"wgEncodeBroadHistoneH1hescH3k79me2StdSig","None","bigWig","Signal","wgEncodeBroadHistoneH1hescH3k79me2StdSig.bigWig","wgEncodeBroadHistoneH1hescH3k79me2StdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescH3k79me2StdSig.bigWig"
"H3K9ac","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH000109","GSM733773","Bernstein","Broad",,"6ce369987e41bbea930e67d612939709",,"hg18","wgEncode",,,"exp",,"915K","ScriptureVPaperR3",2816,,"wgEncodeBroadHistoneH1hescH3k9acStdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescH3k9acStdPk.broadPeak.gz","wgEncodeBroadHistoneH1hescH3k9acStdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescH3k9acStdPk.broadPeak.gz"
"H3K9ac","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2009-12-16#,#2010-09-16#,"wgEncodeEH000109","GSM733773","Bernstein","Broad",,"37a066e84c870292f763786c2d31d83e",,"hg18","wgEncode",,,"exp",,"618M",,2816,,"wgEncodeBroadHistoneH1hescH3k9acStdSig","None","bigWig","Signal","wgEncodeBroadHistoneH1hescH3k9acStdSig.bigWig","wgEncodeBroadHistoneH1hescH3k9acStdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescH3k9acStdSig.bigWig"
"H4K20me1","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2010-11-05#,#2011-08-05#,"wgEncodeEH000087","GSM733687","Bernstein","Broad",,"c102ff22bd6845075a5f511f6823203b",,"hg18","wgEncode",,,"exp",,"636K","ScriptureVPaperR3",2817,,"wgEncodeBroadHistoneH1hescH4k20me1StdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescH4k20me1StdPk.broadPeak.gz","wgEncodeBroadHistoneH1hescH4k20me1StdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescH4k20me1StdPk.broadPeak.gz"
"H4K20me1","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jan 2011 Freeze",#2010-11-05#,#2009-09-29#,#2010-06-29#,"wgEncodeEH000087","GSM733687","Bernstein","Broad",,"e1f02a765916dce780ed53f94057df94",,"hg18","wgEncode",,,"exp",,"652M",,2817,,"wgEncodeBroadHistoneH1hescH4k20me1StdSig","None","bigWig","Signal","wgEncodeBroadHistoneH1hescH4k20me1StdSig.bigWig","wgEncodeBroadHistoneH1hescH4k20me1StdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescH4k20me1StdSig.bigWig"
"HDAC2_(A300-705A)","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-26#,#2013-04-25#,"wgEncodeEH003137","GSM1003472","Bernstein","Broad",,"f8914204b8a521a23b3c2cc8718638e5",,"hg19","wgEncode",,"Illumina_GA2x","exp",,"940K","ScriptureVPaperR3",7631,,"wgEncodeBroadHistoneH1hescHdac2a300705aPk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescHdac2a300705aPk.broadPeak.gz","wgEncodeBroadHistoneH1hescHdac2a300705aPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescHdac2a300705aPk.broadPeak.gz"
"HDAC2_(A300-705A)","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-26#,#2013-04-25#,"wgEncodeEH003137","GSM1003472","Bernstein","Broad",,"c1b34373d6b880c72549f8290853c82b",,"hg19","wgEncode",,"Illumina_GA2x","exp",,"302M",,7631,,"wgEncodeBroadHistoneH1hescHdac2a300705aSig","None","bigWig","Signal","wgEncodeBroadHistoneH1hescHdac2a300705aSig.bigWig","wgEncodeBroadHistoneH1hescHdac2a300705aSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescHdac2a300705aSig.bigWig"
"HDAC6_(A301-341A)","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-24#,#2013-04-24#,"wgEncodeEH003100","GSM1003571","Bernstein","Broad",,"f62ea061234aa2877f1d360749945e58",,"hg19","wgEncode",,"Illumina_GA2x","exp",,"296K","ScriptureVPaperR3",7569,,"wgEncodeBroadHistoneH1hescHdac6a301341aPk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescHdac6a301341aPk.broadPeak.gz","wgEncodeBroadHistoneH1hescHdac6a301341aPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescHdac6a301341aPk.broadPeak.gz"
"HDAC6_(A301-341A)","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-24#,#2013-04-24#,"wgEncodeEH003100","GSM1003571","Bernstein","Broad",,"0827849b298e4f28f75f9777a94584eb",,"hg19","wgEncode",,"Illumina_GA2x","exp",,"325M",,7569,,"wgEncodeBroadHistoneH1hescHdac6a301341aSig","None","bigWig","Signal","wgEncodeBroadHistoneH1hescHdac6a301341aSig.bigWig","wgEncodeBroadHistoneH1hescHdac6a301341aSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescHdac6a301341aSig.bigWig"
"JARID1A_(ab26049)","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-10-01#,#2012-06-30#,"wgEncodeEH002096","GSM1003446","Bernstein","Broad",,"ea93b0f236edca150c2721e04a7a5f48",,"hg19","wgEncode",,,"exp",,"4.5M","ScriptureVPaperR3",4944,,"wgEncodeBroadHistoneH1hescJarid1aab26049StdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescJarid1aab26049StdPk.broadPeak.gz","wgEncodeBroadHistoneH1hescJarid1aab26049StdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescJarid1aab26049StdPk.broadPeak.gz"
"JARID1A_(ab26049)","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-10-01#,#2012-06-30#,"wgEncodeEH002096","GSM1003446","Bernstein","Broad",,"c144307e0544370c68881b1821cd2dcb",,"hg19","wgEncode",,,"exp",,"472M",,4944,,"wgEncodeBroadHistoneH1hescJarid1aab26049StdSig","None","bigWig","Signal","wgEncodeBroadHistoneH1hescJarid1aab26049StdSig.bigWig","wgEncodeBroadHistoneH1hescJarid1aab26049StdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescJarid1aab26049StdSig.bigWig"
"JMJD2A_(A300-861A-1)","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-26#,#2013-04-25#,"wgEncodeEH003138","GSM1003479","Bernstein","Broad",,"d051bf5ee269d4e5dab202541eea5cbc",,"hg19","wgEncode",,"Illumina_GA2x","exp",,"569K","ScriptureVPaperR3",7584,,"wgEncodeBroadHistoneH1hescJmjd2aa300861a1Pk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescJmjd2aa300861a1Pk.broadPeak.gz","wgEncodeBroadHistoneH1hescJmjd2aa300861a1Pk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescJmjd2aa300861a1Pk.broadPeak.gz"
"JMJD2A_(A300-861A-1)","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-26#,#2013-04-25#,"wgEncodeEH003138","GSM1003479","Bernstein","Broad",,"87735a021c9bacddab420f0edee6d53c",,"hg19","wgEncode",,"Illumina_GA2x","exp",,"258M",,7584,,"wgEncodeBroadHistoneH1hescJmjd2aa300861a1Sig","None","bigWig","Signal","wgEncodeBroadHistoneH1hescJmjd2aa300861a1Sig.bigWig","wgEncodeBroadHistoneH1hescJmjd2aa300861a1Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescJmjd2aa300861a1Sig.bigWig"
"P300_KAT3B","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003126","GSM1003513","Bernstein","Broad",,"3efd2d0723fbeda29cfefe42407a5de2",,"hg19","wgEncode",,"Illumina_GA2x","exp",,"497K","ScriptureVPaperR3",7630,,"wgEncodeBroadHistoneH1hescP300kat3bPk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescP300kat3bPk.broadPeak.gz","wgEncodeBroadHistoneH1hescP300kat3bPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescP300kat3bPk.broadPeak.gz"
"P300_KAT3B","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003126","GSM1003513","Bernstein","Broad",,"04797e107fdc55f7f64ae7ab40b1d3d2",,"hg19","wgEncode",,"Illumina_GA2x","exp",,"275M",,7630,,"wgEncodeBroadHistoneH1hescP300kat3bSig","None","bigWig","Signal","wgEncodeBroadHistoneH1hescP300kat3bSig.bigWig","wgEncodeBroadHistoneH1hescP300kat3bSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescP300kat3bSig.bigWig"
"PHF8_(A301-772A)","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-23#,#2013-04-23#,"wgEncodeEH003094","GSM1003509","Bernstein","Broad",,"ca9adc117c790e03eac845bdceaf3419",,"hg19","wgEncode",,"Illumina_GA2x","exp",,"486K","ScriptureVPaperR3",7579,,"wgEncodeBroadHistoneH1hescPhf8a301772aPk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescPhf8a301772aPk.broadPeak.gz","wgEncodeBroadHistoneH1hescPhf8a301772aPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescPhf8a301772aPk.broadPeak.gz"
"PHF8_(A301-772A)","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-23#,#2013-04-23#,"wgEncodeEH003094","GSM1003509","Bernstein","Broad",,"90661c91a17edcb585214f9dd509ff21",,"hg19","wgEncode",,"Illumina_GA2x","exp",,"259M",,7579,,"wgEncodeBroadHistoneH1hescPhf8a301772aSig","None","bigWig","Signal","wgEncodeBroadHistoneH1hescPhf8a301772aSig.bigWig","wgEncodeBroadHistoneH1hescPhf8a301772aSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescPhf8a301772aSig.bigWig"
"PLU1","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003127","GSM1003457","Bernstein","Broad",,"fc7a24c653530f6f9bba8ce8aa45c03b",,"hg19","wgEncode",,"Illumina_GA2x","exp",,"241K","ScriptureVPaperR3",7633,,"wgEncodeBroadHistoneH1hescPlu1Pk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescPlu1Pk.broadPeak.gz","wgEncodeBroadHistoneH1hescPlu1Pk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescPlu1Pk.broadPeak.gz"
"PLU1","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003127","GSM1003457","Bernstein","Broad",,"9b925ae8243e2e1f9f40d7330bb3ad54",,"hg19","wgEncode",,"Illumina_GA2x","exp",,"311M",,7633,,"wgEncodeBroadHistoneH1hescPlu1Sig","None","bigWig","Signal","wgEncodeBroadHistoneH1hescPlu1Sig.bigWig","wgEncodeBroadHistoneH1hescPlu1Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescPlu1Sig.bigWig"
"RBBP5_(A300-109A)","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-09-30#,#2012-06-30#,"wgEncodeEH002087","GSM1003584","Bernstein","Broad",,"656882b08c30b2f0df66405657ebac59",,"hg19","wgEncode",,,"exp",,"2.5M","ScriptureVPaperR3",4754,,"wgEncodeBroadHistoneH1hescRbbp5a300109aStdPk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescRbbp5a300109aStdPk.broadPeak.gz","wgEncodeBroadHistoneH1hescRbbp5a300109aStdPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescRbbp5a300109aStdPk.broadPeak.gz"
"RBBP5_(A300-109A)","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-09-30#,#2012-06-30#,"wgEncodeEH002087","GSM1003584","Bernstein","Broad",,"25462196727673f1715061dfd652d118",,"hg19","wgEncode",,,"exp",,"465M",,4754,,"wgEncodeBroadHistoneH1hescRbbp5a300109aStdSig","None","bigWig","Signal","wgEncodeBroadHistoneH1hescRbbp5a300109aStdSig.bigWig","wgEncodeBroadHistoneH1hescRbbp5a300109aStdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescRbbp5a300109aStdSig.bigWig"
"SAP30_(39731)","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-24#,#2013-04-23#,"wgEncodeEH003101","GSM1003572","Bernstein","Broad",,"de485aed8a1bce81e12b54db5e630f1b",,"hg19","wgEncode",,"Illumina_GA2x","exp",,"574K","ScriptureVPaperR3",7583,,"wgEncodeBroadHistoneH1hescSap3039731Pk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescSap3039731Pk.broadPeak.gz","wgEncodeBroadHistoneH1hescSap3039731Pk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescSap3039731Pk.broadPeak.gz"
"SAP30_(39731)","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-24#,#2013-04-23#,"wgEncodeEH003101","GSM1003572","Bernstein","Broad",,"157d29c23c5f8ed6c42c39183d0ed765",,"hg19","wgEncode",,"Illumina_GA2x","exp",,"165M",,7583,,"wgEncodeBroadHistoneH1hescSap3039731Sig","None","bigWig","Signal","wgEncodeBroadHistoneH1hescSap3039731Sig.bigWig","wgEncodeBroadHistoneH1hescSap3039731Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescSap3039731Sig.bigWig"
"SIRT6","H1-hESC","wgEncodeBroadHistone","std","wgEncodeEH000088","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003128","GSM1003451","Bernstein","Broad",,"78c59de1e48c35f20fc673812f1b61df",,"hg19","wgEncode",,"Illumina_GA2x","exp",,"374K","ScriptureVPaperR3",7634,,"wgEncodeBroadHistoneH1hescSirt6Pk","None","broadPeak","Peaks","wgEncodeBroadHistoneH1hescSirt6Pk.broadPeak.gz","wgEncodeBroadHistoneH1hescSirt6Pk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneH1hescSirt6Pk.broadPeak.gz"
