"antibody","cell","composite","control","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","seq_platform","set_type","sex","size","software_version","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"H3K4me1","A549","wgEncodeBroadHistone","std","wgEncodeEH003075","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-28#,#2013-04-28#,"wgEncodeEH003143","GSM1003495","Bernstein","Broad",,"48d07af1ca74e6e7000e5b9064ad95e8",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"1.9M","ScriptureVPaperR3",7729,,"wgEncodeBroadHistoneA549H3k04me1Dex100nmPk","DEX_100nM","broadPeak","Peaks","wgEncodeBroadHistoneA549H3k04me1Dex100nmPk.broadPeak.gz","wgEncodeBroadHistoneA549H3k04me1Dex100nmPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k04me1Dex100nmPk.broadPeak.gz"
"H3K4me1","A549","wgEncodeBroadHistone","std","wgEncodeEH003075","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-28#,#2013-04-28#,"wgEncodeEH003143","GSM1003495","Bernstein","Broad",,"6eb84cb7d01fd6d03587f27df360c16b",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"479M",,7729,,"wgEncodeBroadHistoneA549H3k04me1Dex100nmSig","DEX_100nM","bigWig","Signal","wgEncodeBroadHistoneA549H3k04me1Dex100nmSig.bigWig","wgEncodeBroadHistoneA549H3k04me1Dex100nmSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k04me1Dex100nmSig.bigWig"
"H3K4me1","A549","wgEncodeBroadHistone","std","wgEncodeEH003076","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003122","GSM1003453","Bernstein","Broad",,"747954fd84acce311e88601a09db3cff",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"2.1M","ScriptureVPaperR3",7627,,"wgEncodeBroadHistoneA549H3k04me1Etoh02Pk","EtOH_0.02pct","broadPeak","Peaks","wgEncodeBroadHistoneA549H3k04me1Etoh02Pk.broadPeak.gz","wgEncodeBroadHistoneA549H3k04me1Etoh02Pk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k04me1Etoh02Pk.broadPeak.gz"
"H3K4me1","A549","wgEncodeBroadHistone","std","wgEncodeEH003076","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003122","GSM1003453","Bernstein","Broad",,"ca0f4e4c1cb87ad2fda733244c6e2c27",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"513M",,7627,,"wgEncodeBroadHistoneA549H3k04me1Etoh02Sig","EtOH_0.02pct","bigWig","Signal","wgEncodeBroadHistoneA549H3k04me1Etoh02Sig.bigWig","wgEncodeBroadHistoneA549H3k04me1Etoh02Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k04me1Etoh02Sig.bigWig"
"H3K4me2","A549","wgEncodeBroadHistone","std","wgEncodeEH003075","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-24#,#2013-04-23#,"wgEncodeEH003098","GSM1003511","Bernstein","Broad",,"87faa24c4b7667eef237ecf5415f5684",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"1.5M","ScriptureVPaperR3",7594,,"wgEncodeBroadHistoneA549H3k04me2Dex100nmPk","DEX_100nM","broadPeak","Peaks","wgEncodeBroadHistoneA549H3k04me2Dex100nmPk.broadPeak.gz","wgEncodeBroadHistoneA549H3k04me2Dex100nmPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k04me2Dex100nmPk.broadPeak.gz"
"H3K4me2","A549","wgEncodeBroadHistone","std","wgEncodeEH003075","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-24#,#2013-04-23#,"wgEncodeEH003098","GSM1003511","Bernstein","Broad",,"4c2ed6e3113ab5c65592a4d7bdf43699",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"268M",,7594,,"wgEncodeBroadHistoneA549H3k04me2Dex100nmSig","DEX_100nM","bigWig","Signal","wgEncodeBroadHistoneA549H3k04me2Dex100nmSig.bigWig","wgEncodeBroadHistoneA549H3k04me2Dex100nmSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k04me2Dex100nmSig.bigWig"
"H3K4me2","A549","wgEncodeBroadHistone","std","wgEncodeEH003076","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-28#,#2013-04-28#,"wgEncodeEH003144","GSM1003496","Bernstein","Broad",,"0b0c16aeacf77bdced24cdb82e347958",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"1.6M","ScriptureVPaperR3",7730,,"wgEncodeBroadHistoneA549H3k04me2Etoh02Pk","EtOH_0.02pct","broadPeak","Peaks","wgEncodeBroadHistoneA549H3k04me2Etoh02Pk.broadPeak.gz","wgEncodeBroadHistoneA549H3k04me2Etoh02Pk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k04me2Etoh02Pk.broadPeak.gz"
"H3K4me2","A549","wgEncodeBroadHistone","std","wgEncodeEH003076","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-28#,#2013-04-28#,"wgEncodeEH003144","GSM1003496","Bernstein","Broad",,"6a04da2dd5016c3b82f2cbec85304ca0",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"479M",,7730,,"wgEncodeBroadHistoneA549H3k04me2Etoh02Sig","EtOH_0.02pct","bigWig","Signal","wgEncodeBroadHistoneA549H3k04me2Etoh02Sig.bigWig","wgEncodeBroadHistoneA549H3k04me2Etoh02Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k04me2Etoh02Sig.bigWig"
"H3K4me3","A549","wgEncodeBroadHistone","std","wgEncodeEH003075","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-15#,#2012-12-15#,"wgEncodeEH003077","GSM1003542","Bernstein","Broad",,"a5014e9be10d5cd3681aa5d49c1c973d",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"1.4M","ScriptureVPaperR3",5998,,"wgEncodeBroadHistoneA549H3k04me3Dex100nmPk","DEX_100nM","broadPeak","Peaks","wgEncodeBroadHistoneA549H3k04me3Dex100nmPk.broadPeak.gz","wgEncodeBroadHistoneA549H3k04me3Dex100nmPk.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k04me3Dex100nmPk.broadPeak.gz"
"H3K4me3","A549","wgEncodeBroadHistone","std","wgEncodeEH003075","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-15#,#2012-12-15#,"wgEncodeEH003077","GSM1003542","Bernstein","Broad",,"e0c521388dbe5b8a83461190ba159770",,"hg19","wgEncode",,"Illumina_HiSeq_2000","exp",,"323M",,5998,,"wgEncodeBroadHistoneA549H3k04me3Dex100nmSig","DEX_100nM","bigWig","Signal","wgEncodeBroadHistoneA549H3k04me3Dex100nmSig.bigWig","wgEncodeBroadHistoneA549H3k04me3Dex100nmSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneA549H3k04me3Dex100nmSig.bigWig"
