"antibody","cell","composite","control","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","donor_id","geo_sample_accession","grant","lab","lab_exp_id","lab_version","md5sum","obj_status","orig_assembly","project","replicate","set_type","size","sub_id","table_name","treatment","type","view","filename","fname","url"
"H3K4me3","A549","wgEncodeUwHistone","std","wgEncodeEH001904","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-25#,#2012-03-24#,"wgEncodeEH001905",,"GSM945244","Stam","UW","DS18305","Hotspot-v5.2","96532789e65b2005ec1d46fa17e38103",,"hg19","wgEncode",1,"exp","856K",4367,"wgEncodeUwHistoneA549H3k04me3StdHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwHistoneA549H3k04me3StdHotspotsRep1.broadPeak.gz","wgEncodeUwHistoneA549H3k04me3StdHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneA549H3k04me3StdHotspotsRep1.broadPeak.gz"
"H3K4me3","A549","wgEncodeUwHistone","std","wgEncodeEH001904","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-25#,#2012-03-24#,"wgEncodeEH001905",,"GSM945244","Stam","UW","DS18304","Hotspot-v5.2","750736c49619faa948866bf2d890d47e",,"hg19","wgEncode",2,"exp","965K",4366,"wgEncodeUwHistoneA549H3k04me3StdHotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwHistoneA549H3k04me3StdHotspotsRep2.broadPeak.gz","wgEncodeUwHistoneA549H3k04me3StdHotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneA549H3k04me3StdHotspotsRep2.broadPeak.gz"
"H3K4me3","A549","wgEncodeUwHistone","std","wgEncodeEH001904","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-25#,#2012-03-24#,"wgEncodeEH001905",,"GSM945244","Stam","UW","DS18305","lmax-v1.0","fd33a240467a8538f1f9b5031b357e4b",,"hg19","wgEncode",1,"exp","770K",4367,"wgEncodeUwHistoneA549H3k04me3StdPkRep1","None","narrowPeak","Peaks","wgEncodeUwHistoneA549H3k04me3StdPkRep1.narrowPeak.gz","wgEncodeUwHistoneA549H3k04me3StdPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneA549H3k04me3StdPkRep1.narrowPeak.gz"
"H3K4me3","A549","wgEncodeUwHistone","std","wgEncodeEH001904","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-25#,#2012-03-24#,"wgEncodeEH001905",,"GSM945244","Stam","UW","DS18304","lmax-v1.0","63eecb3bed1bf108f3f917cd7ac6bbc9",,"hg19","wgEncode",2,"exp","771K",4366,"wgEncodeUwHistoneA549H3k04me3StdPkRep2","None","narrowPeak","Peaks","wgEncodeUwHistoneA549H3k04me3StdPkRep2.narrowPeak.gz","wgEncodeUwHistoneA549H3k04me3StdPkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneA549H3k04me3StdPkRep2.narrowPeak.gz"
"H3K4me3","A549","wgEncodeUwHistone","std","wgEncodeEH001904","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-25#,#2012-03-24#,"wgEncodeEH001905",,"GSM945244","Stam","UW","DS18305","WindowDensity-bin20-win+/-75","e34d884207a2239fb5e7782cbab05ae7",,"hg19","wgEncode",1,"exp","49M",4367,"wgEncodeUwHistoneA549H3k04me3StdRawRep1","None","bigWig","RawSignal","wgEncodeUwHistoneA549H3k04me3StdRawRep1.bigWig","wgEncodeUwHistoneA549H3k04me3StdRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneA549H3k04me3StdRawRep1.bigWig"
"H3K4me3","A549","wgEncodeUwHistone","std","wgEncodeEH001904","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-25#,#2012-03-24#,"wgEncodeEH001905",,"GSM945244","Stam","UW","DS18304","WindowDensity-bin20-win+/-75","4201fdfcf2bec7d454a6bb018b7298b0",,"hg19","wgEncode",2,"exp","59M",4366,"wgEncodeUwHistoneA549H3k04me3StdRawRep2","None","bigWig","RawSignal","wgEncodeUwHistoneA549H3k04me3StdRawRep2.bigWig","wgEncodeUwHistoneA549H3k04me3StdRawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneA549H3k04me3StdRawRep2.bigWig"
"Input","A549","wgEncodeUwHistone","std","wgEncodeEH001904","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-29#,#2012-03-29#,"wgEncodeEH001904",,"GSM945243","Stam","UW","DS18301","WindowDensity-bin20-win+/-75","14eaea24d3e62bfa394ef44519dd6068",,"hg19","wgEncode",1,"input","151M",4349,"wgEncodeUwHistoneA549InputStdRawRep1","None","bigWig","RawSignal","wgEncodeUwHistoneA549InputStdRawRep1.bigWig","wgEncodeUwHistoneA549InputStdRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneA549InputStdRawRep1.bigWig"
"H3K4me3","AG04449","wgEncodeUwHistone","std","wgEncodeEH000928","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-22#,#2011-07-22#,"wgEncodeEH000927",,"GSM945187","Stam","UW","DS15737","Hotspot-v5.1","bffc6cf8f66141444043decb6b317168",,"hg19","wgEncode",1,"exp","971K",2592,"wgEncodeUwHistoneAg04449H3k4me3StdHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwHistoneAg04449H3k4me3StdHotspotsRep1.broadPeak.gz","wgEncodeUwHistoneAg04449H3k4me3StdHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04449H3k4me3StdHotspotsRep1.broadPeak.gz"
"H3K4me3","AG04449","wgEncodeUwHistone","std","wgEncodeEH000928","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-22#,#2011-07-22#,"wgEncodeEH000927",,"GSM945187","Stam","UW","DS15739","Hotspot-v5.1","06d8b4909078af357179379cc1c86807",,"hg19","wgEncode",2,"exp","909K",2593,"wgEncodeUwHistoneAg04449H3k4me3StdHotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwHistoneAg04449H3k4me3StdHotspotsRep2.broadPeak.gz","wgEncodeUwHistoneAg04449H3k4me3StdHotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04449H3k4me3StdHotspotsRep2.broadPeak.gz"
"H3K4me3","AG04449","wgEncodeUwHistone","std","wgEncodeEH000928","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-22#,#2011-07-22#,"wgEncodeEH000927",,"GSM945187","Stam","UW","DS15737","lmax-v1.0","8a1e4908761d5b8eafa88e6bb05c3a0a",,"hg19","wgEncode",1,"exp","757K",2592,"wgEncodeUwHistoneAg04449H3k4me3StdPkRep1","None","narrowPeak","Peaks","wgEncodeUwHistoneAg04449H3k4me3StdPkRep1.narrowPeak.gz","wgEncodeUwHistoneAg04449H3k4me3StdPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04449H3k4me3StdPkRep1.narrowPeak.gz"
"H3K4me3","AG04449","wgEncodeUwHistone","std","wgEncodeEH000928","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-22#,#2011-07-22#,"wgEncodeEH000927",,"GSM945187","Stam","UW","DS15739","lmax-v1.0","449d760865bbfbdeafd449c99ceef5d6",,"hg19","wgEncode",2,"exp","807K",2593,"wgEncodeUwHistoneAg04449H3k4me3StdPkRep2","None","narrowPeak","Peaks","wgEncodeUwHistoneAg04449H3k4me3StdPkRep2.narrowPeak.gz","wgEncodeUwHistoneAg04449H3k4me3StdPkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04449H3k4me3StdPkRep2.narrowPeak.gz"
"H3K4me3","AG04449","wgEncodeUwHistone","std","wgEncodeEH000928","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-22#,#2011-07-22#,"wgEncodeEH000927",,"GSM945187","Stam","UW","DS15737","WindowDensity-bin20-win+/-75","bd7390f4f93822ca21906f5444a0fb83",,"hg19","wgEncode",1,"exp","91M",2592,"wgEncodeUwHistoneAg04449H3k4me3StdRawRep1","None","bigWig","RawSignal","wgEncodeUwHistoneAg04449H3k4me3StdRawRep1.bigWig","wgEncodeUwHistoneAg04449H3k4me3StdRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04449H3k4me3StdRawRep1.bigWig"
"H3K4me3","AG04449","wgEncodeUwHistone","std","wgEncodeEH000928","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-22#,#2011-07-22#,"wgEncodeEH000927",,"GSM945187","Stam","UW","DS15739","WindowDensity-bin20-win+/-75","0a45bf3cccb8ddf5efd82899c9ab1b30",,"hg19","wgEncode",2,"exp","106M",2593,"wgEncodeUwHistoneAg04449H3k4me3StdRawRep2","None","bigWig","RawSignal","wgEncodeUwHistoneAg04449H3k4me3StdRawRep2.bigWig","wgEncodeUwHistoneAg04449H3k4me3StdRawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04449H3k4me3StdRawRep2.bigWig"
"Input","AG04449","wgEncodeUwHistone","std","wgEncodeEH000928","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-22#,#2011-07-22#,"wgEncodeEH000928",,"GSM945176","Stam","UW","DS15908","WindowDensity-bin20-win+/-75","524c4e3fd1b04dbef1cd17b871f0b2b3",,"hg19","wgEncode",1,"input","164M",2594,"wgEncodeUwHistoneAg04449InputStdRawRep1","None","bigWig","RawSignal","wgEncodeUwHistoneAg04449InputStdRawRep1.bigWig","wgEncodeUwHistoneAg04449InputStdRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04449InputStdRawRep1.bigWig"
"H3K9me3","AG04450","wgEncodeUwHistone","std","AG04450/None/Input/std","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-18#,#2013-04-17#,"wgEncodeEH003037",,"GSM1010914","Stam","UW","DS21482","Hotspot-v5.2","ac4469f37137097a0323bc48070efb20",,"hg19","wgEncode",1,"exp","4.3M",7505,"wgEncodeUwHistoneAg04450H3k09me3StdHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwHistoneAg04450H3k09me3StdHotspotsRep1.broadPeak.gz","wgEncodeUwHistoneAg04450H3k09me3StdHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450H3k09me3StdHotspotsRep1.broadPeak.gz"
"H3K9me3","AG04450","wgEncodeUwHistone","std","AG04450/None/Input/std","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-18#,#2013-04-17#,"wgEncodeEH003037",,"GSM1010914","Stam","UW","DS21481","Hotspot-v5.2","15cf2df66350cede18531dce0ddacaa6",,"hg19","wgEncode",2,"exp","5.7M",7504,"wgEncodeUwHistoneAg04450H3k09me3StdHotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwHistoneAg04450H3k09me3StdHotspotsRep2.broadPeak.gz","wgEncodeUwHistoneAg04450H3k09me3StdHotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450H3k09me3StdHotspotsRep2.broadPeak.gz"
"H3K9me3","AG04450","wgEncodeUwHistone","std","AG04450/None/Input/std","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-18#,#2013-04-17#,"wgEncodeEH003037",,"GSM1010914","Stam","UW","DS21482","lmax-v1.0","6b1e3ba1946b08dd6f514d7cbbb05f1c",,"hg19","wgEncode",1,"exp","1.4M",7505,"wgEncodeUwHistoneAg04450H3k09me3StdPkRep1","None","narrowPeak","Peaks","wgEncodeUwHistoneAg04450H3k09me3StdPkRep1.narrowPeak.gz","wgEncodeUwHistoneAg04450H3k09me3StdPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450H3k09me3StdPkRep1.narrowPeak.gz"
"H3K9me3","AG04450","wgEncodeUwHistone","std","AG04450/None/Input/std","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-18#,#2013-04-17#,"wgEncodeEH003037",,"GSM1010914","Stam","UW","DS21481","lmax-v1.0","6fd3876691de445a2118332cb20d86b4",,"hg19","wgEncode",2,"exp","1.8M",7504,"wgEncodeUwHistoneAg04450H3k09me3StdPkRep2","None","narrowPeak","Peaks","wgEncodeUwHistoneAg04450H3k09me3StdPkRep2.narrowPeak.gz","wgEncodeUwHistoneAg04450H3k09me3StdPkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450H3k09me3StdPkRep2.narrowPeak.gz"
"H3K9me3","AG04450","wgEncodeUwHistone","std","AG04450/None/Input/std","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-18#,#2013-04-17#,"wgEncodeEH003037",,"GSM1010914","Stam","UW","DS21482","WindowDensity-bin20-win+/-75","4418aba27ebc437cd508c67595ca50ac",,"hg19","wgEncode",1,"exp","76M",7505,"wgEncodeUwHistoneAg04450H3k09me3StdRawRep1","None","bigWig","RawSignal","wgEncodeUwHistoneAg04450H3k09me3StdRawRep1.bigWig","wgEncodeUwHistoneAg04450H3k09me3StdRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450H3k09me3StdRawRep1.bigWig"
"H3K9me3","AG04450","wgEncodeUwHistone","std","AG04450/None/Input/std","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-18#,#2013-04-17#,"wgEncodeEH003037",,"GSM1010914","Stam","UW","DS21481","WindowDensity-bin20-win+/-75","f4878886f42f5ec891d6e67bfd5f7731",,"hg19","wgEncode",2,"exp","116M",7504,"wgEncodeUwHistoneAg04450H3k09me3StdRawRep2","None","bigWig","RawSignal","wgEncodeUwHistoneAg04450H3k09me3StdRawRep2.bigWig","wgEncodeUwHistoneAg04450H3k09me3StdRawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450H3k09me3StdRawRep2.bigWig"
"H3K27ac","AG04450","wgEncodeUwHistone","std","AG04450/None/Input/std","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-18#,#2013-04-17#,"wgEncodeEH003035",,"GSM1010912","Stam","UW","DS21479","Hotspot-v5.2","b341d42e90ede97e610df5a582314bfe",,"hg19","wgEncode",1,"exp","3.4M",7502,"wgEncodeUwHistoneAg04450H3k27acStdHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwHistoneAg04450H3k27acStdHotspotsRep1.broadPeak.gz","wgEncodeUwHistoneAg04450H3k27acStdHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450H3k27acStdHotspotsRep1.broadPeak.gz"
"H3K27ac","AG04450","wgEncodeUwHistone","std","AG04450/None/Input/std","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-18#,#2013-04-17#,"wgEncodeEH003035",,"GSM1010912","Stam","UW","DS21479","lmax-v1.0","c6a7656bda4030e2c2ca6c5643450f14",,"hg19","wgEncode",1,"exp","1.1M",7502,"wgEncodeUwHistoneAg04450H3k27acStdPkRep1","None","narrowPeak","Peaks","wgEncodeUwHistoneAg04450H3k27acStdPkRep1.narrowPeak.gz","wgEncodeUwHistoneAg04450H3k27acStdPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450H3k27acStdPkRep1.narrowPeak.gz"
"H3K27ac","AG04450","wgEncodeUwHistone","std","AG04450/None/Input/std","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-18#,#2013-04-17#,"wgEncodeEH003035",,"GSM1010912","Stam","UW","DS21479","WindowDensity-bin20-win+/-75","6bca529fc0c31427b032f521cecbafc0",,"hg19","wgEncode",1,"exp","105M",7502,"wgEncodeUwHistoneAg04450H3k27acStdRawRep1","None","bigWig","RawSignal","wgEncodeUwHistoneAg04450H3k27acStdRawRep1.bigWig","wgEncodeUwHistoneAg04450H3k27acStdRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450H3k27acStdRawRep1.bigWig"
"H3K27me3","AG04450","wgEncodeUwHistone","std","AG04450/None/Input/std","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-18#,#2013-04-17#,"wgEncodeEH003036",,"GSM1010913","Stam","UW","DS21480","Hotspot-v5.2","8e858375c21dc78a3d56a6e731489e33",,"hg19","wgEncode",1,"exp","4.5M",7503,"wgEncodeUwHistoneAg04450H3k27me3StdHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwHistoneAg04450H3k27me3StdHotspotsRep1.broadPeak.gz","wgEncodeUwHistoneAg04450H3k27me3StdHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450H3k27me3StdHotspotsRep1.broadPeak.gz"
"H3K27me3","AG04450","wgEncodeUwHistone","std","AG04450/None/Input/std","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-18#,#2013-04-17#,"wgEncodeEH003036",,"GSM1010913","Stam","UW","DS21480","lmax-v1.0","1f88fc9b9cd080dfb9654dd535c0579c",,"hg19","wgEncode",1,"exp","352K",7503,"wgEncodeUwHistoneAg04450H3k27me3StdPkRep1","None","narrowPeak","Peaks","wgEncodeUwHistoneAg04450H3k27me3StdPkRep1.narrowPeak.gz","wgEncodeUwHistoneAg04450H3k27me3StdPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450H3k27me3StdPkRep1.narrowPeak.gz"
"H3K27me3","AG04450","wgEncodeUwHistone","std","AG04450/None/Input/std","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-18#,#2013-04-17#,"wgEncodeEH003036",,"GSM1010913","Stam","UW","DS21480","WindowDensity-bin20-win+/-75","463a67eae4f31d7ef6dcea9917d17e45",,"hg19","wgEncode",1,"exp","110M",7503,"wgEncodeUwHistoneAg04450H3k27me3StdRawRep1","None","bigWig","RawSignal","wgEncodeUwHistoneAg04450H3k27me3StdRawRep1.bigWig","wgEncodeUwHistoneAg04450H3k27me3StdRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450H3k27me3StdRawRep1.bigWig"
"H3K4me3","AG04450","wgEncodeUwHistone","std","wgEncodeEH000930","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-23#,#2011-07-23#,"wgEncodeEH000929",,"GSM945177","Stam","UW","DS15740","Hotspot-v5.1","53dee123621292d89121549659018434",,"hg19","wgEncode",1,"exp","851K",2598,"wgEncodeUwHistoneAg04450H3k4me3StdHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwHistoneAg04450H3k4me3StdHotspotsRep1.broadPeak.gz","wgEncodeUwHistoneAg04450H3k4me3StdHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450H3k4me3StdHotspotsRep1.broadPeak.gz"
"H3K4me3","AG04450","wgEncodeUwHistone","std","wgEncodeEH000930","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-23#,#2011-07-23#,"wgEncodeEH000929",,"GSM945177","Stam","UW","DS15741","Hotspot-v5.1","81a4e4f94393c3d81f5a8e3b6e1d14b6",,"hg19","wgEncode",2,"exp","943K",2599,"wgEncodeUwHistoneAg04450H3k4me3StdHotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwHistoneAg04450H3k4me3StdHotspotsRep2.broadPeak.gz","wgEncodeUwHistoneAg04450H3k4me3StdHotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450H3k4me3StdHotspotsRep2.broadPeak.gz"
"H3K4me3","AG04450","wgEncodeUwHistone","std","wgEncodeEH000930","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-23#,#2011-07-23#,"wgEncodeEH000929",,"GSM945177","Stam","UW","DS15740","lmax-v1.0","f765a0ca95dc3eafb022263ade318992",,"hg19","wgEncode",1,"exp","816K",2598,"wgEncodeUwHistoneAg04450H3k4me3StdPkRep1","None","narrowPeak","Peaks","wgEncodeUwHistoneAg04450H3k4me3StdPkRep1.narrowPeak.gz","wgEncodeUwHistoneAg04450H3k4me3StdPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450H3k4me3StdPkRep1.narrowPeak.gz"
"H3K4me3","AG04450","wgEncodeUwHistone","std","wgEncodeEH000930","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-23#,#2011-07-23#,"wgEncodeEH000929",,"GSM945177","Stam","UW","DS15741","lmax-v1.0","4a1988ee8a03000113de482227f852b3",,"hg19","wgEncode",2,"exp","759K",2599,"wgEncodeUwHistoneAg04450H3k4me3StdPkRep2","None","narrowPeak","Peaks","wgEncodeUwHistoneAg04450H3k4me3StdPkRep2.narrowPeak.gz","wgEncodeUwHistoneAg04450H3k4me3StdPkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450H3k4me3StdPkRep2.narrowPeak.gz"
"H3K4me3","AG04450","wgEncodeUwHistone","std","wgEncodeEH000930","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-23#,#2011-07-23#,"wgEncodeEH000929",,"GSM945177","Stam","UW","DS15740","WindowDensity-bin20-win+/-75","25135beb5810c5c4066910c200c68d41",,"hg19","wgEncode",1,"exp","92M",2598,"wgEncodeUwHistoneAg04450H3k4me3StdRawRep1","None","bigWig","RawSignal","wgEncodeUwHistoneAg04450H3k4me3StdRawRep1.bigWig","wgEncodeUwHistoneAg04450H3k4me3StdRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450H3k4me3StdRawRep1.bigWig"
"H3K4me3","AG04450","wgEncodeUwHistone","std","wgEncodeEH000930","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-23#,#2011-07-23#,"wgEncodeEH000929",,"GSM945177","Stam","UW","DS15741","WindowDensity-bin20-win+/-75","0873d0038c2f2a6158931f36378bbcf9",,"hg19","wgEncode",2,"exp","91M",2599,"wgEncodeUwHistoneAg04450H3k4me3StdRawRep2","None","bigWig","RawSignal","wgEncodeUwHistoneAg04450H3k4me3StdRawRep2.bigWig","wgEncodeUwHistoneAg04450H3k4me3StdRawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450H3k4me3StdRawRep2.bigWig"
"Input","AG04450","wgEncodeUwHistone","std","wgEncodeEH000930","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-23#,#2011-07-23#,"wgEncodeEH000930",,"GSM945169","Stam","UW","DS15909","WindowDensity-bin20-win+/-75","0a3a53897dfe72778b36364921116d37",,"hg19","wgEncode",1,"input","178M",2600,"wgEncodeUwHistoneAg04450InputStdRawRep1","None","bigWig","RawSignal","wgEncodeUwHistoneAg04450InputStdRawRep1.bigWig","wgEncodeUwHistoneAg04450InputStdRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg04450InputStdRawRep1.bigWig"
"H3K4me3","AG09309","wgEncodeUwHistone","std","wgEncodeEH000932","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-23#,#2011-07-23#,"wgEncodeEH000931",,"GSM945168","Stam","UW","DS16034","Hotspot-v5.1","84ff9b46a3a9abaacaa217ab84df799d",,"hg19","wgEncode",1,"exp","714K",2603,"wgEncodeUwHistoneAg09309H3k4me3StdHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwHistoneAg09309H3k4me3StdHotspotsRep1.broadPeak.gz","wgEncodeUwHistoneAg09309H3k4me3StdHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg09309H3k4me3StdHotspotsRep1.broadPeak.gz"
"H3K4me3","AG09309","wgEncodeUwHistone","std","wgEncodeEH000932","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-23#,#2011-07-23#,"wgEncodeEH000931",,"GSM945168","Stam","UW","DS16033","Hotspot-v5.1","11d8d900df88a41280f59062b0e95c9e",,"hg19","wgEncode",2,"exp","870K",2602,"wgEncodeUwHistoneAg09309H3k4me3StdHotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwHistoneAg09309H3k4me3StdHotspotsRep2.broadPeak.gz","wgEncodeUwHistoneAg09309H3k4me3StdHotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg09309H3k4me3StdHotspotsRep2.broadPeak.gz"
"H3K4me3","AG09309","wgEncodeUwHistone","std","wgEncodeEH000932","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-10-23#,#2011-07-23#,"wgEncodeEH000931",,"GSM945168","Stam","UW","DS16034","lmax-v1.0","b71ca5f4507bfba2b3b260f1c9ed00bf",,"hg19","wgEncode",1,"exp","675K",2603,"wgEncodeUwHistoneAg09309H3k4me3StdPkRep1","None","narrowPeak","Peaks","wgEncodeUwHistoneAg09309H3k4me3StdPkRep1.narrowPeak.gz","wgEncodeUwHistoneAg09309H3k4me3StdPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwHistone/wgEncodeUwHistoneAg09309H3k4me3StdPkRep1.narrowPeak.gz"
