"cell","composite","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_exp_id","lab_version","md5sum","obj_status","orig_assembly","project","replicate","seq_platform","size","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"AoAF","wgEncodeUwDgf","DnaseDgf","ENCODE Jan 2011 Freeze",,#2011-01-07#,#2011-10-07#,"wgEncodeEH000841","GSM849029","Stam","UW","DS13513","WindowDensity-bin20-win+/-75","fb042b8403617c532cabc35f0a868662",,"hg19","wgEncode",,,"357M",3191,,"wgEncodeUwDgfAoafRaw",,"bigWig","RawSignal","wgEncodeUwDgfAoafRaw.bigWig","wgEncodeUwDgfAoafRaw.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfAoafRaw.bigWig"
"AoAF","wgEncodeUwDgf","DnaseDgf","ENCODE Jan 2011 Freeze",,#2011-01-07#,#2011-10-07#,"wgEncodeEH000841","GSM849029","Stam","UW","DS13513",,"397a419ac66207eddbf1502b2b75c9a0",,"hg19","wgEncode",,,"583M",3191,,"wgEncodeUwDgfAoafSig",,"bigWig","Signal","wgEncodeUwDgfAoafSig.bigWig","wgEncodeUwDgfAoafSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfAoafSig.bigWig"
"CD20+_RO01778","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2011-09-27#,#2012-06-27#,"wgEncodeEH002442","GSM1014525","Stam","UW","DS18208","Hotspot-v5.2","948905cbefaf74779f27fac4bf1ccb7b",,"hg19","wgEncode",,"Illumina_HiSeq_2000","2.6M",4884,,"wgEncodeUwDgfCd20ro01778Hotspots",,"broadPeak","Hotspots","wgEncodeUwDgfCd20ro01778Hotspots.broadPeak.gz","wgEncodeUwDgfCd20ro01778Hotspots.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfCd20ro01778Hotspots.broadPeak.gz"
"CD20+_RO01778","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2011-09-27#,#2012-06-27#,"wgEncodeEH002442","GSM1014525","Stam","UW","DS18208","lmax-v1.0","490e47950a1ba1c384e4b6923f66ec60",,"hg19","wgEncode",,"Illumina_HiSeq_2000","1.8M",4884,,"wgEncodeUwDgfCd20ro01778Pk",,"narrowPeak","Peaks","wgEncodeUwDgfCd20ro01778Pk.narrowPeak.gz","wgEncodeUwDgfCd20ro01778Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfCd20ro01778Pk.narrowPeak.gz"
"CD20+_RO01778","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2011-09-27#,#2012-06-27#,"wgEncodeEH002442","GSM1014525","Stam","UW","DS18208","WindowDensity-bin20-win+/-75","9efba09bf43bea4548343ab908b0b1f4",,"hg19","wgEncode",,"Illumina_HiSeq_2000","333M",4884,,"wgEncodeUwDgfCd20ro01778Raw",,"bigWig","RawSignal","wgEncodeUwDgfCd20ro01778Raw.bigWig","wgEncodeUwDgfCd20ro01778Raw.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfCd20ro01778Raw.bigWig"
"CD20+_RO01778","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2011-09-27#,#2012-06-27#,"wgEncodeEH002442","GSM1014525","Stam","UW","DS18208",,"c1f72311dab961a3edc77ee560866c94",,"hg19","wgEncode",,"Illumina_HiSeq_2000","494M",4884,,"wgEncodeUwDgfCd20ro01778Sig",,"bigWig","Signal","wgEncodeUwDgfCd20ro01778Sig.bigWig","wgEncodeUwDgfCd20ro01778Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfCd20ro01778Sig.bigWig"
"CD4+_Naive_Wb11970640","wgEncodeUwDgf","DnaseDgf","ENCODE Jul 2012 Freeze",,#2012-07-12#,#2013-04-12#,"wgEncodeEH003156","GSM1014537","Stam","UW","DS14108","Hotspot-v5.2","41e8dc80aa0b2da57280293a972b94aa",,"hg19","wgEncode",,"Illumina_HiSeq_2000","2.6M",7349,,"wgEncodeUwDgfCd4naivewb11970640Hotspots","None","broadPeak","Hotspots","wgEncodeUwDgfCd4naivewb11970640Hotspots.broadPeak.gz","wgEncodeUwDgfCd4naivewb11970640Hotspots.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfCd4naivewb11970640Hotspots.broadPeak.gz"
"CD4+_Naive_Wb11970640","wgEncodeUwDgf","DnaseDgf","ENCODE Jul 2012 Freeze",,#2012-07-12#,#2013-04-12#,"wgEncodeEH003156","GSM1014537","Stam","UW","DS14108","lmax-v1.0","b07ae4a777961df7b8a317365391d18a",,"hg19","wgEncode",,"Illumina_HiSeq_2000","1.6M",7349,,"wgEncodeUwDgfCd4naivewb11970640Pk","None","narrowPeak","Peaks","wgEncodeUwDgfCd4naivewb11970640Pk.narrowPeak.gz","wgEncodeUwDgfCd4naivewb11970640Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfCd4naivewb11970640Pk.narrowPeak.gz"
"CD4+_Naive_Wb11970640","wgEncodeUwDgf","DnaseDgf","ENCODE Jul 2012 Freeze",,#2012-07-12#,#2013-04-12#,"wgEncodeEH003156","GSM1014537","Stam","UW","DS14108","WindowDensity-bin20-win+/-75","0b16949e70e21794ac205298ea5e373f",,"hg19","wgEncode",,"Illumina_HiSeq_2000","379M",7349,,"wgEncodeUwDgfCd4naivewb11970640Raw","None","bigWig","RawSignal","wgEncodeUwDgfCd4naivewb11970640Raw.bigWig","wgEncodeUwDgfCd4naivewb11970640Raw.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfCd4naivewb11970640Raw.bigWig"
"CD4+_Naive_Wb11970640","wgEncodeUwDgf","DnaseDgf","ENCODE Jul 2012 Freeze",,#2012-07-12#,#2013-04-12#,"wgEncodeEH003156","GSM1014537","Stam","UW","DS14108",,"c271927b117c197d19715e77b241d6a2",,"hg19","wgEncode",,"Illumina_HiSeq_2000","687M",7349,,"wgEncodeUwDgfCd4naivewb11970640Sig","None","bigWig","Signal","wgEncodeUwDgfCd4naivewb11970640Sig.bigWig","wgEncodeUwDgfCd4naivewb11970640Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfCd4naivewb11970640Sig.bigWig"
"GM06990","wgEncodeUwDgf","DnaseDgf","ENCODE June 2010 Freeze",#2010-06-21#,#2010-01-14#,#2010-10-14#,"wgEncodeEH000479","GSM646568","Stam","UW","DS7748","Hotspot-v5.1","20fccca2357de8ff1416c486784a03ce",,"hg18","wgEncode",,,"2.8M",1682,,"wgEncodeUwDgfGm06990Hotspots",,"broadPeak","Hotspots","wgEncodeUwDgfGm06990Hotspots.broadPeak.gz","wgEncodeUwDgfGm06990Hotspots.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfGm06990Hotspots.broadPeak.gz"
