"cell","composite","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_exp_id","md5sum","obj_status","orig_assembly","project","replicate","size","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"HEK293","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000806","GSM580028","Stam","UW",,"9104b2ca3d4331488af92090990d3970",,,"wgEncode",2,"22M",2109,,"wgEncodeUwAffyExonArrayHek293SimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHek293SimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHek293SimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHek293SimpleSignalRep2.broadPeak.gz"
"HeLa-S3","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-08-19#,#2009-07-02#,#2010-04-02#,"wgEncodeEH000357","GSM472916","Stam","UW",,"8f78564ee13cac5b9a342886df43cc29",,"hg18","wgEncode",1,"22M",2110,,"wgEncodeUwAffyExonArrayHelas3SimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHelas3SimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHelas3SimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHelas3SimpleSignalRep1.broadPeak.gz"
"HeLa-S3","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-08-19#,#2009-06-29#,#2010-03-29#,"wgEncodeEH000357","GSM472932","Stam","UW",,"077e602d860e397b3dbfaed1c2a7af02",,"hg18","wgEncode",2,"21M",2110,,"wgEncodeUwAffyExonArrayHelas3SimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHelas3SimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHelas3SimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHelas3SimpleSignalRep2.broadPeak.gz"
"HepG2","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-08-19#,#2009-07-02#,#2010-04-02#,"wgEncodeEH000361","GSM472906","Stam","UW",,"fd936dd132c7139eb7a9575904dfb4b3",,"hg18","wgEncode",1,"21M",2110,,"wgEncodeUwAffyExonArrayHepg2SimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHepg2SimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHepg2SimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHepg2SimpleSignalRep1.broadPeak.gz"
"HepG2","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-08-19#,#2009-07-02#,#2010-04-02#,"wgEncodeEH000361","GSM472907","Stam","UW",,"9837ed5823a6a51deff80bc9e5364ec6",,"hg18","wgEncode",2,"22M",2110,,"wgEncodeUwAffyExonArrayHepg2SimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHepg2SimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHepg2SimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHepg2SimpleSignalRep2.broadPeak.gz"
"HFF","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Mar 2012 Freeze",,#2011-10-24#,#2012-07-24#,"wgEncodeEH002155","GSM824864","Stam","UW","RS17567","7d3ba42a57e6f998b0e46c925b5331eb",,,"wgEncode",1,"22M",5011,,"wgEncodeUwAffyExonArrayHffSimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHffSimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHffSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHffSimpleSignalRep1.broadPeak.gz"
"HFF","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Mar 2012 Freeze",,#2011-10-24#,#2012-07-24#,"wgEncodeEH002155","GSM824865","Stam","UW","RS17568","b6367088c953dca00d42899688811c55",,,"wgEncode",2,"22M",5011,,"wgEncodeUwAffyExonArrayHffSimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHffSimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHffSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHffSimpleSignalRep2.broadPeak.gz"
"HFF-Myc","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Mar 2012 Freeze",,#2011-10-24#,#2012-07-24#,"wgEncodeEH002156","GSM824866","Stam","UW","RS17569","6f5f187d37cb7e5bdba645075b1ec548",,,"wgEncode",1,"22M",5011,,"wgEncodeUwAffyExonArrayHffmycSimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHffmycSimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHffmycSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHffmycSimpleSignalRep1.broadPeak.gz"
"HFF-Myc","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Mar 2012 Freeze",,#2011-10-24#,#2012-07-24#,"wgEncodeEH002156","GSM824867","Stam","UW","RS17570","606a8575029b2cb40d4680f0af5ffaaf",,,"wgEncode",2,"22M",5011,,"wgEncodeUwAffyExonArrayHffmycSimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHffmycSimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHffmycSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHffmycSimpleSignalRep2.broadPeak.gz"
"HGF","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000807","GSM472940","Stam","UW",,"dbcab31cebf86a51335972f372a1cdc7",,"hg18","wgEncode",1,"21M",2110,,"wgEncodeUwAffyExonArrayHgfSimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHgfSimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHgfSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHgfSimpleSignalRep1.broadPeak.gz"
"HGF","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000807","GSM472941","Stam","UW",,"fde5c36e8fc342d0bc949a23093edfda",,"hg18","wgEncode",2,"22M",2110,,"wgEncodeUwAffyExonArrayHgfSimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHgfSimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHgfSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHgfSimpleSignalRep2.broadPeak.gz"
"HIPEpiC","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-08-19#,#2010-01-10#,#2010-10-10#,"wgEncodeEH000387","GSM510518","Stam","UW",,"c6ef8bd704c692bbb8b800a6ad52ff07",,"hg18","wgEncode",1,"21M",2110,,"wgEncodeUwAffyExonArrayHipeSimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHipeSimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHipeSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHipeSimpleSignalRep1.broadPeak.gz"
"HIPEpiC","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-08-19#,#2010-01-10#,#2010-10-10#,"wgEncodeEH000387","GSM510519","Stam","UW",,"0ce7738fa75cd16f35aef1318d2d9dd7",,"hg18","wgEncode",2,"21M",2110,,"wgEncodeUwAffyExonArrayHipeSimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHipeSimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHipeSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHipeSimpleSignalRep2.broadPeak.gz"
"HL-60","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000808","GSM472908","Stam","UW",,"e762c9610d9ac9ae5fdd54a16b54a860",,"hg18","wgEncode",1,"21M",2110,,"wgEncodeUwAffyExonArrayHl60SimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHl60SimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHl60SimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHl60SimpleSignalRep1.broadPeak.gz"
"HL-60","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000808","GSM472942","Stam","UW",,"3b823d22877a6f0ff9ca9a17cda81c8e",,"hg18","wgEncode",2,"21M",2110,,"wgEncodeUwAffyExonArrayHl60SimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHl60SimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHl60SimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHl60SimpleSignalRep2.broadPeak.gz"
"HMEC","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-08-19#,#2009-09-21#,#2010-06-21#,"wgEncodeEH000367","GSM472934","Stam","UW",,"790f3e07e1c037482bee71a4d1f98f14",,"hg18","wgEncode",1,"21M",2110,,"wgEncodeUwAffyExonArrayHmecSimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmecSimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHmecSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmecSimpleSignalRep1.broadPeak.gz"
"HMEC","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000367","GSM580006","Stam","UW",,"423eff1cad1e85e47eb8b33ff7dd1420",,,"wgEncode",2,"21M",2109,,"wgEncodeUwAffyExonArrayHmecSimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmecSimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHmecSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmecSimpleSignalRep2.broadPeak.gz"
"HMF","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000809","GSM580041","Stam","UW",,"d9b73a5254e8fccb03b862be4d679f32",,,"wgEncode",1,"22M",2109,,"wgEncodeUwAffyExonArrayHmfSimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmfSimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHmfSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmfSimpleSignalRep1.broadPeak.gz"
"HMF","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000809","GSM580042","Stam","UW",,"6ea599fa15b7b128d8cb9d423988ac02",,,"wgEncode",2,"22M",2109,,"wgEncodeUwAffyExonArrayHmfSimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmfSimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHmfSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmfSimpleSignalRep2.broadPeak.gz"
"HMVEC-dAd","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Mar 2012 Freeze",,#2011-10-24#,#2012-07-24#,"wgEncodeEH002157","GSM824851","Stam","UW","RS19000","2f923e31278527ac6f7900cf922a9d1b",,,"wgEncode",1,"22M",5011,,"wgEncodeUwAffyExonArrayHmvecdadSimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmvecdadSimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHmvecdadSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmvecdadSimpleSignalRep1.broadPeak.gz"
"HMVEC-dAd","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Mar 2012 Freeze",,#2011-10-24#,#2012-07-24#,"wgEncodeEH002157","GSM824852","Stam","UW","RS19001","8a7737e25cbbf4fbeb5169b198b8185a",,,"wgEncode",2,"22M",5011,,"wgEncodeUwAffyExonArrayHmvecdadSimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmvecdadSimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHmvecdadSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmvecdadSimpleSignalRep2.broadPeak.gz"
"HMVEC-dBl-Ad","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000812","GSM580021","Stam","UW",,"8b05c1426cfdc1e36b9304ac1b29313d",,,"wgEncode",1,"22M",2109,,"wgEncodeUwAffyExonArrayHmvecdbladSimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmvecdbladSimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHmvecdbladSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmvecdbladSimpleSignalRep1.broadPeak.gz"
"HMVEC-dBl-Ad","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000812","GSM580022","Stam","UW",,"679d99001c42ff2ff7b7c50f39e2881d",,,"wgEncode",2,"21M",2109,,"wgEncodeUwAffyExonArrayHmvecdbladSimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmvecdbladSimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHmvecdbladSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmvecdbladSimpleSignalRep2.broadPeak.gz"
"HMVEC-dBl-Neo","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000813","GSM580023","Stam","UW",,"47bd884b457f28472d2d2aa210f5d7b8",,,"wgEncode",1,"22M",2109,,"wgEncodeUwAffyExonArrayHmvecdblneoSimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmvecdblneoSimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHmvecdblneoSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmvecdblneoSimpleSignalRep1.broadPeak.gz"
"HMVEC-dBl-Neo","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000813","GSM580024","Stam","UW",,"52e31f6f67410853b223419a7e782cd2",,,"wgEncode",2,"22M",2109,,"wgEncodeUwAffyExonArrayHmvecdblneoSimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmvecdblneoSimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHmvecdblneoSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmvecdblneoSimpleSignalRep2.broadPeak.gz"
"HMVEC-dLy-Ad","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000814","GSM580014","Stam","UW",,"3e15efa88c558d1d2c49086ea01fe394",,,"wgEncode",1,"21M",2109,,"wgEncodeUwAffyExonArrayHmvecdlyadSimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmvecdlyadSimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHmvecdlyadSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmvecdlyadSimpleSignalRep1.broadPeak.gz"
"HMVEC-dLy-Ad","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000814","GSM580013","Stam","UW",,"ee2f0ee61e9c8945f81c49881e9fde5d",,,"wgEncode",2,"22M",2109,,"wgEncodeUwAffyExonArrayHmvecdlyadSimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmvecdlyadSimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHmvecdlyadSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmvecdlyadSimpleSignalRep2.broadPeak.gz"
"HMVEC-dLy-Neo","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000815","GSM580011","Stam","UW",,"ca5d2996a8df43c22b0bbd1b193f58ad",,,"wgEncode",1,"22M",2109,,"wgEncodeUwAffyExonArrayHmvecdlyneoSimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmvecdlyneoSimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHmvecdlyneoSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmvecdlyneoSimpleSignalRep1.broadPeak.gz"
"HMVEC-dLy-Neo","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000815","GSM580012","Stam","UW",,"f6fec0e9884a78eae792f3794cbbe72e",,,"wgEncode",2,"22M",2109,,"wgEncodeUwAffyExonArrayHmvecdlyneoSimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmvecdlyneoSimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHmvecdlyneoSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmvecdlyneoSimpleSignalRep2.broadPeak.gz"
"HMVEC-dNeo","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000816","GSM580015","Stam","UW",,"239ecfc586be65d97d104b5a70c39be8",,,"wgEncode",1,"22M",2109,,"wgEncodeUwAffyExonArrayHmvecdneoSimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmvecdneoSimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHmvecdneoSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmvecdneoSimpleSignalRep1.broadPeak.gz"
"HMVEC-dNeo","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000816","GSM580016","Stam","UW",,"70bc72d16f7883fe2e86a62f341d0a82",,,"wgEncode",2,"22M",2109,,"wgEncodeUwAffyExonArrayHmvecdneoSimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmvecdneoSimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHmvecdneoSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmvecdneoSimpleSignalRep2.broadPeak.gz"
"HMVEC-LBl","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000810","GSM580019","Stam","UW",,"70af60326100d9f170cb5c3cd65dcef5",,,"wgEncode",1,"22M",2109,,"wgEncodeUwAffyExonArrayHmveclblSimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmveclblSimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHmveclblSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmveclblSimpleSignalRep1.broadPeak.gz"
"HMVEC-LBl","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000810","GSM580020","Stam","UW",,"149bdfa1e66b576a31b5127a5e3ad587",,,"wgEncode",2,"22M",2109,,"wgEncodeUwAffyExonArrayHmveclblSimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmveclblSimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHmveclblSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmveclblSimpleSignalRep2.broadPeak.gz"
"HMVEC-LLy","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000811","GSM580009","Stam","UW",,"75bf38a8336542fc9dddfeb47aeec1e5",,,"wgEncode",1,"22M",2109,,"wgEncodeUwAffyExonArrayHmvecllySimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmvecllySimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHmvecllySimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmvecllySimpleSignalRep1.broadPeak.gz"
"HMVEC-LLy","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",,#2010-08-19#,#2011-05-19#,"wgEncodeEH000811","GSM580010","Stam","UW",,"dacb8cba760ff2225eeb063b22d0f3cd",,,"wgEncode",2,"22M",2109,,"wgEncodeUwAffyExonArrayHmvecllySimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHmvecllySimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHmvecllySimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHmvecllySimpleSignalRep2.broadPeak.gz"
"HNPCEpiC","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-08-19#,#2010-01-10#,#2010-10-10#,"wgEncodeEH000388","GSM510560","Stam","UW",,"20b94887a8bf813ce5b1011e2c2d88e6",,"hg18","wgEncode",1,"22M",2110,,"wgEncodeUwAffyExonArrayHnpceSimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHnpceSimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHnpceSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHnpceSimpleSignalRep1.broadPeak.gz"
"HNPCEpiC","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Jan 2011 Freeze",#2010-08-19#,#2010-01-10#,#2010-10-10#,"wgEncodeEH000388","GSM510564","Stam","UW",,"65da8d56057c9936d9db6e0d2fd48de4",,"hg18","wgEncode",2,"22M",2110,,"wgEncodeUwAffyExonArrayHnpceSimpleSignalRep2",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHnpceSimpleSignalRep2.broadPeak.gz","wgEncodeUwAffyExonArrayHnpceSimpleSignalRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHnpceSimpleSignalRep2.broadPeak.gz"
"HPAEC","wgEncodeUwAffyExonArray","AffyExonArray","ENCODE Mar 2012 Freeze",,#2011-10-24#,#2012-07-24#,"wgEncodeEH002158","GSM824860","Stam","UW","RS19002","b2e9149463e85bc0453a4e5b9fb8a66a",,,"wgEncode",1,"22M",5011,,"wgEncodeUwAffyExonArrayHpaecSimpleSignalRep1",,"broadPeak","SimpleSignal","wgEncodeUwAffyExonArrayHpaecSimpleSignalRep1.broadPeak.gz","wgEncodeUwAffyExonArrayHpaecSimpleSignalRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwAffyExonArray/wgEncodeUwAffyExonArrayHpaecSimpleSignalRep1.broadPeak.gz"
