"antibody","cell","composite","control","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","set_type","size","software_version","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"Input","GM12892","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000711","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000711","GSM935286","Snyder","Stanford",,"b64e8405402f485e0f5b1c28425392ee",,"hg18","wgEncode",,"input","289M",,3053,,"wgEncodeSydhTfbsGm12892InputIggmusSig","None","bigWig","Signal","wgEncodeSydhTfbsGm12892InputIggmusSig.bigWig","wgEncodeSydhTfbsGm12892InputIggmusSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm12892InputIggmusSig.bigWig"
"Input","GM12892","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000773","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000773","GSM935452","Snyder","Stanford",,"e68d5573b6627c4fe47ab4e9f686977a",,"hg18","wgEncode",,"input","295M",,3053,,"wgEncodeSydhTfbsGm12892InputTnfaIggrabSig","TNFa","bigWig","Signal","wgEncodeSydhTfbsGm12892InputTnfaIggrabSig.bigWig","wgEncodeSydhTfbsGm12892InputTnfaIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm12892InputTnfaIggrabSig.bigWig"
"NFKB","GM12892","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000773","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000712","GSM935285","Snyder","Stanford",,"eebf30cb40f074aa1eac4ca3cd35a36b",,"hg18","wgEncode",,"exp","65K",,4165,,"wgEncodeSydhTfbsGm12892NfkbTnfaIggrabPk","TNFa","narrowPeak","Peaks","wgEncodeSydhTfbsGm12892NfkbTnfaIggrabPk.narrowPeak.gz","wgEncodeSydhTfbsGm12892NfkbTnfaIggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm12892NfkbTnfaIggrabPk.narrowPeak.gz"
"NFKB","GM12892","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000773","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000712","GSM935285","Snyder","Stanford",,"a3d651c9c78e362927aded74438a9f7e",,"hg18","wgEncode",,"exp","399M",,3053,,"wgEncodeSydhTfbsGm12892NfkbTnfaIggrabSig","TNFa","bigWig","Signal","wgEncodeSydhTfbsGm12892NfkbTnfaIggrabSig.bigWig","wgEncodeSydhTfbsGm12892NfkbTnfaIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm12892NfkbTnfaIggrabSig.bigWig"
"Pol2","GM12892","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000711","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000729","GSM935640","Snyder","Stanford",,"2e32ebab0453efd443c07b09072829e1",,"hg18","wgEncode",,"exp","280K",,4165,,"wgEncodeSydhTfbsGm12892Pol2IggmusPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsGm12892Pol2IggmusPk.narrowPeak.gz","wgEncodeSydhTfbsGm12892Pol2IggmusPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm12892Pol2IggmusPk.narrowPeak.gz"
"Pol2","GM12892","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000711","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000729","GSM935640","Snyder","Stanford",,"f23b66f5b5c626e8be3b4dc4167d06b3",,"hg18","wgEncode",,"exp","301M",,3053,,"wgEncodeSydhTfbsGm12892Pol2IggmusSig","None","bigWig","Signal","wgEncodeSydhTfbsGm12892Pol2IggmusSig.bigWig","wgEncodeSydhTfbsGm12892Pol2IggmusSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm12892Pol2IggmusSig.bigWig"
"Input","GM15510","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000713","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000713","GSM935284","Snyder","Stanford",,"c3def3b3f6a215062e19881c56a7376e",,"hg18","wgEncode",,"input","351M",,3053,,"wgEncodeSydhTfbsGm15510InputIggmusSig","None","bigWig","Signal","wgEncodeSydhTfbsGm15510InputIggmusSig.bigWig","wgEncodeSydhTfbsGm15510InputIggmusSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm15510InputIggmusSig.bigWig"
"Input","GM15510","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000774","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000774","GSM935447","Snyder","Stanford",,"d4ac16a8617b10d03d77d98a734a8447",,"hg18","wgEncode",,"input","276M",,3053,,"wgEncodeSydhTfbsGm15510InputTnfaIggrabSig","TNFa","bigWig","Signal","wgEncodeSydhTfbsGm15510InputTnfaIggrabSig.bigWig","wgEncodeSydhTfbsGm15510InputTnfaIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm15510InputTnfaIggrabSig.bigWig"
"NFKB","GM15510","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000774","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000736","GSM935529","Snyder","Stanford",,"294b10a8f6b64c8bced4e1542909231a",,"hg18","wgEncode",,"exp","214K",,4165,,"wgEncodeSydhTfbsGm15510NfkbTnfaIggrabPk","TNFa","narrowPeak","Peaks","wgEncodeSydhTfbsGm15510NfkbTnfaIggrabPk.narrowPeak.gz","wgEncodeSydhTfbsGm15510NfkbTnfaIggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm15510NfkbTnfaIggrabPk.narrowPeak.gz"
"NFKB","GM15510","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000774","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000736","GSM935529","Snyder","Stanford",,"f37bea45efc33ffe654ffe55d1818747",,"hg18","wgEncode",,"exp","554M",,3053,,"wgEncodeSydhTfbsGm15510NfkbTnfaIggrabSig","TNFa","bigWig","Signal","wgEncodeSydhTfbsGm15510NfkbTnfaIggrabSig.bigWig","wgEncodeSydhTfbsGm15510NfkbTnfaIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm15510NfkbTnfaIggrabSig.bigWig"
"Pol2","GM15510","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000713","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000714","GSM935291","Snyder","Stanford",,"2454a58c3ca4573d62fdd07f36fce4f8",,"hg18","wgEncode",,"exp","313K",,4165,,"wgEncodeSydhTfbsGm15510Pol2IggmusPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsGm15510Pol2IggmusPk.narrowPeak.gz","wgEncodeSydhTfbsGm15510Pol2IggmusPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm15510Pol2IggmusPk.narrowPeak.gz"
"Pol2","GM15510","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000713","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000714","GSM935291","Snyder","Stanford",,"6b9869c6f9b499ca603bf57405083e06",,"hg18","wgEncode",,"exp","184M",,3053,,"wgEncodeSydhTfbsGm15510Pol2IggmusSig","None","bigWig","Signal","wgEncodeSydhTfbsGm15510Pol2IggmusSig.bigWig","wgEncodeSydhTfbsGm15510Pol2IggmusSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm15510Pol2IggmusSig.bigWig"
"Input","GM18505","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000730","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000730","GSM935523","Snyder","Stanford",,"52de5dce8dc3e1844cf1d52fc62f156f",,"hg18","wgEncode",,"input","275M",,3053,,"wgEncodeSydhTfbsGm18505InputIggmusSig","None","bigWig","Signal","wgEncodeSydhTfbsGm18505InputIggmusSig.bigWig","wgEncodeSydhTfbsGm18505InputIggmusSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm18505InputIggmusSig.bigWig"
"Input","GM18505","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000775","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000775","GSM935446","Snyder","Stanford",,"8650f53385899aa0f88b9be870ed79cf",,"hg18","wgEncode",,"input","302M",,3053,,"wgEncodeSydhTfbsGm18505InputTnfaIggrabSig","TNFa","bigWig","Signal","wgEncodeSydhTfbsGm18505InputTnfaIggrabSig.bigWig","wgEncodeSydhTfbsGm18505InputTnfaIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm18505InputTnfaIggrabSig.bigWig"
"NFKB","GM18505","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000775","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000715","GSM935282","Snyder","Stanford",,"017c0682971b80bde5ff085176390d09",,"hg18","wgEncode",,"exp","132K",,4165,,"wgEncodeSydhTfbsGm18505NfkbTnfaIggrabPk","TNFa","narrowPeak","Peaks","wgEncodeSydhTfbsGm18505NfkbTnfaIggrabPk.narrowPeak.gz","wgEncodeSydhTfbsGm18505NfkbTnfaIggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm18505NfkbTnfaIggrabPk.narrowPeak.gz"
"NFKB","GM18505","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000775","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000715","GSM935282","Snyder","Stanford",,"c59ef8921e086cee707f24def3f67175",,"hg18","wgEncode",,"exp","545M",,3053,,"wgEncodeSydhTfbsGm18505NfkbTnfaIggrabSig","TNFa","bigWig","Signal","wgEncodeSydhTfbsGm18505NfkbTnfaIggrabSig.bigWig","wgEncodeSydhTfbsGm18505NfkbTnfaIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm18505NfkbTnfaIggrabSig.bigWig"
"Pol2","GM18505","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000730","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-09#,#2012-03-09#,"wgEncodeEH000731","GSM935522","Snyder","Stanford",,"a1f5cc5f36809497e6b78c08c4972953",,"hg18","wgEncode",,"exp","323K",,4313,,"wgEncodeSydhTfbsGm18505Pol2IggmusPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsGm18505Pol2IggmusPk.narrowPeak.gz","wgEncodeSydhTfbsGm18505Pol2IggmusPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm18505Pol2IggmusPk.narrowPeak.gz"
"Pol2","GM18505","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000730","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000731","GSM935522","Snyder","Stanford",,"916984b318fcf13a305db592b0a68919",,"hg18","wgEncode",,"exp","394M",,3053,,"wgEncodeSydhTfbsGm18505Pol2IggmusSig","None","bigWig","Signal","wgEncodeSydhTfbsGm18505Pol2IggmusSig.bigWig","wgEncodeSydhTfbsGm18505Pol2IggmusSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm18505Pol2IggmusSig.bigWig"
"Input","GM18526","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000732","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000732","GSM935525","Snyder","Stanford",,"e87545dc2fe0bad84663f74816eb1ad5",,"hg18","wgEncode",,"input","425M",,3053,,"wgEncodeSydhTfbsGm18526InputIggmusSig","None","bigWig","Signal","wgEncodeSydhTfbsGm18526InputIggmusSig.bigWig","wgEncodeSydhTfbsGm18526InputIggmusSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm18526InputIggmusSig.bigWig"
"Input","GM18526","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000776","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000776","GSM935449","Snyder","Stanford",,"4eb2393a5ada39b26f2707845291067a",,"hg18","wgEncode",,"input","266M",,3053,,"wgEncodeSydhTfbsGm18526InputTnfaIggrabSig","TNFa","bigWig","Signal","wgEncodeSydhTfbsGm18526InputTnfaIggrabSig.bigWig","wgEncodeSydhTfbsGm18526InputTnfaIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm18526InputTnfaIggrabSig.bigWig"
"NFKB","GM18526","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000776","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000716","GSM935281","Snyder","Stanford",,"9e8b38b986e86af65ed46549f814d913",,"hg18","wgEncode",,"exp","45K",,4165,,"wgEncodeSydhTfbsGm18526NfkbTnfaIggrabPk","TNFa","narrowPeak","Peaks","wgEncodeSydhTfbsGm18526NfkbTnfaIggrabPk.narrowPeak.gz","wgEncodeSydhTfbsGm18526NfkbTnfaIggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm18526NfkbTnfaIggrabPk.narrowPeak.gz"
"NFKB","GM18526","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000776","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000716","GSM935281","Snyder","Stanford",,"1661bd610eccd4fab8c4bfc04cf54499",,"hg18","wgEncode",,"exp","407M",,3053,,"wgEncodeSydhTfbsGm18526NfkbTnfaIggrabSig","TNFa","bigWig","Signal","wgEncodeSydhTfbsGm18526NfkbTnfaIggrabSig.bigWig","wgEncodeSydhTfbsGm18526NfkbTnfaIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm18526NfkbTnfaIggrabSig.bigWig"
"Pol2","GM18526","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000732","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000733","GSM935524","Snyder","Stanford",,"f53e30f3cb283bf328f6d3af0259293a",,"hg18","wgEncode",,"exp","233K",,4165,,"wgEncodeSydhTfbsGm18526Pol2IggmusPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsGm18526Pol2IggmusPk.narrowPeak.gz","wgEncodeSydhTfbsGm18526Pol2IggmusPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm18526Pol2IggmusPk.narrowPeak.gz"
"Pol2","GM18526","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000732","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000733","GSM935524","Snyder","Stanford",,"e82ae53b1ceb87240d8129e59cf6e551",,"hg18","wgEncode",,"exp","160M",,3053,,"wgEncodeSydhTfbsGm18526Pol2IggmusSig","None","bigWig","Signal","wgEncodeSydhTfbsGm18526Pol2IggmusSig.bigWig","wgEncodeSydhTfbsGm18526Pol2IggmusSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm18526Pol2IggmusSig.bigWig"
"Input","GM18951","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000737","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000737","GSM935528","Snyder","Stanford",,"3d1060abed4d61a5ad69019f0dab3b47",,"hg18","wgEncode",,"input","351M",,3053,,"wgEncodeSydhTfbsGm18951InputIggmusSig","None","bigWig","Signal","wgEncodeSydhTfbsGm18951InputIggmusSig.bigWig","wgEncodeSydhTfbsGm18951InputIggmusSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm18951InputIggmusSig.bigWig"
"Input","GM18951","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000777","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000777","GSM935448","Snyder","Stanford",,"c62043886b963c2ae9c14bb5c53a1e35",,"hg18","wgEncode",,"input","262M",,3053,,"wgEncodeSydhTfbsGm18951InputTnfaIggrabSig","TNFa","bigWig","Signal","wgEncodeSydhTfbsGm18951InputTnfaIggrabSig.bigWig","wgEncodeSydhTfbsGm18951InputTnfaIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm18951InputTnfaIggrabSig.bigWig"
"NFKB","GM18951","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000777","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000738","GSM935531","Snyder","Stanford",,"2039e0202a25d5aa07c6053f3647f416",,"hg18","wgEncode",,"exp","272K",,4165,,"wgEncodeSydhTfbsGm18951NfkbTnfaIggrabPk","TNFa","narrowPeak","Peaks","wgEncodeSydhTfbsGm18951NfkbTnfaIggrabPk.narrowPeak.gz","wgEncodeSydhTfbsGm18951NfkbTnfaIggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm18951NfkbTnfaIggrabPk.narrowPeak.gz"
"NFKB","GM18951","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000777","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000738","GSM935531","Snyder","Stanford",,"26b0ab6d893a040d9fe4aae08db42cf4",,"hg18","wgEncode",,"exp","488M",,3053,,"wgEncodeSydhTfbsGm18951NfkbTnfaIggrabSig","TNFa","bigWig","Signal","wgEncodeSydhTfbsGm18951NfkbTnfaIggrabSig.bigWig","wgEncodeSydhTfbsGm18951NfkbTnfaIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm18951NfkbTnfaIggrabSig.bigWig"
"Pol2","GM18951","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000737","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000739","GSM935530","Snyder","Stanford",,"1cbbc33cf4b67b629bad45a55c31cd55",,"hg18","wgEncode",,"exp","312K",,4165,,"wgEncodeSydhTfbsGm18951Pol2IggmusPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsGm18951Pol2IggmusPk.narrowPeak.gz","wgEncodeSydhTfbsGm18951Pol2IggmusPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm18951Pol2IggmusPk.narrowPeak.gz"
"Pol2","GM18951","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000737","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000739","GSM935530","Snyder","Stanford",,"81ce68b59ec9a1474f9687f9459f6dbe",,"hg18","wgEncode",,"exp","264M",,3053,,"wgEncodeSydhTfbsGm18951Pol2IggmusSig","None","bigWig","Signal","wgEncodeSydhTfbsGm18951Pol2IggmusSig.bigWig","wgEncodeSydhTfbsGm18951Pol2IggmusSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm18951Pol2IggmusSig.bigWig"
"Input","GM19099","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000740","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000740","GSM935322","Snyder","Stanford",,"0cf340e80f430c04dc10d16ce9daa893",,"hg18","wgEncode",,"input","336M",,3053,,"wgEncodeSydhTfbsGm19099InputIggmusSig","None","bigWig","Signal","wgEncodeSydhTfbsGm19099InputIggmusSig.bigWig","wgEncodeSydhTfbsGm19099InputIggmusSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm19099InputIggmusSig.bigWig"
"Input","GM19099","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000778","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000778","GSM935455","Snyder","Stanford",,"9543ff42ce372d504bd0dc39eaafa057",,"hg18","wgEncode",,"input","277M",,3053,,"wgEncodeSydhTfbsGm19099InputTnfaIggrabSig","TNFa","bigWig","Signal","wgEncodeSydhTfbsGm19099InputTnfaIggrabSig.bigWig","wgEncodeSydhTfbsGm19099InputTnfaIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm19099InputTnfaIggrabSig.bigWig"
"NFKB","GM19099","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000778","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000717","GSM935273","Snyder","Stanford",,"a587c0dcf9b76e35b30134e124a6cee1",,"hg18","wgEncode",,"exp","356K",,4165,,"wgEncodeSydhTfbsGm19099NfkbTnfaIggrabPk","TNFa","narrowPeak","Peaks","wgEncodeSydhTfbsGm19099NfkbTnfaIggrabPk.narrowPeak.gz","wgEncodeSydhTfbsGm19099NfkbTnfaIggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm19099NfkbTnfaIggrabPk.narrowPeak.gz"
"NFKB","GM19099","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000778","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000717","GSM935273","Snyder","Stanford",,"a7f19d09913558ccf059717f9a291abd",,"hg18","wgEncode",,"exp","457M",,3053,,"wgEncodeSydhTfbsGm19099NfkbTnfaIggrabSig","TNFa","bigWig","Signal","wgEncodeSydhTfbsGm19099NfkbTnfaIggrabSig.bigWig","wgEncodeSydhTfbsGm19099NfkbTnfaIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm19099NfkbTnfaIggrabSig.bigWig"
"Pol2","GM19099","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000740","ChipSeq","ENCODE Mar 2012 Freeze",,#2011-06-03#,#2012-03-03#,"wgEncodeEH000741","GSM935323","Snyder","Stanford",,"b2cce8a80b732b528ea4c82c62a945f0",,"hg18","wgEncode",,"exp","285K",,4165,,"wgEncodeSydhTfbsGm19099Pol2IggmusPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsGm19099Pol2IggmusPk.narrowPeak.gz","wgEncodeSydhTfbsGm19099Pol2IggmusPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm19099Pol2IggmusPk.narrowPeak.gz"
"Pol2","GM19099","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000740","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000741","GSM935323","Snyder","Stanford",,"6a93b6e6998a175a1c1a1ad7be137c9b",,"hg18","wgEncode",,"exp","352M",,3053,,"wgEncodeSydhTfbsGm19099Pol2IggmusSig","None","bigWig","Signal","wgEncodeSydhTfbsGm19099Pol2IggmusSig.bigWig","wgEncodeSydhTfbsGm19099Pol2IggmusSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm19099Pol2IggmusSig.bigWig"
"Input","GM19193","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000742","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000742","GSM935324","Snyder","Stanford",,"9876bb9253e189be8b05f116ee620e89",,"hg18","wgEncode",,"input","315M",,3053,,"wgEncodeSydhTfbsGm19193InputIggmusSig","None","bigWig","Signal","wgEncodeSydhTfbsGm19193InputIggmusSig.bigWig","wgEncodeSydhTfbsGm19193InputIggmusSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm19193InputIggmusSig.bigWig"
"Input","GM19193","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000779","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000779","GSM935454","Snyder","Stanford",,"bc4cc67bae7bbda2b556cbd7d670900e",,"hg18","wgEncode",,"input","271M",,3053,,"wgEncodeSydhTfbsGm19193InputTnfaIggrabSig","TNFa","bigWig","Signal","wgEncodeSydhTfbsGm19193InputTnfaIggrabSig.bigWig","wgEncodeSydhTfbsGm19193InputTnfaIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm19193InputTnfaIggrabSig.bigWig"
