"antibody","cell","composite","control","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","set_type","size","software_version","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"Max","A549","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH002819","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-02-04#,#2012-11-03#,"wgEncodeEH002820","GSM935298","Snyder","Stanford","PeakSeq1.0","d41163d445deac47b48f84cd7daf3ae2",,,"wgEncode",,"exp","418M",,5540,,"wgEncodeSydhTfbsA549MaxIggrabSig","None","bigWig","Signal","wgEncodeSydhTfbsA549MaxIggrabSig.bigWig","wgEncodeSydhTfbsA549MaxIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsA549MaxIggrabSig.bigWig"
"Pol2(phosphoS2)","A549","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH002819","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-02-04#,#2012-11-03#,"wgEncodeEH002821","GSM935299","Snyder","Stanford","PeakSeq1.0","73592637ff673ddcca3c450b998997ce",,,"wgEncode",,"exp","515K",,5541,,"wgEncodeSydhTfbsA549Pol2s2IggrabPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsA549Pol2s2IggrabPk.narrowPeak.gz","wgEncodeSydhTfbsA549Pol2s2IggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsA549Pol2s2IggrabPk.narrowPeak.gz"
"Pol2(phosphoS2)","A549","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH002819","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-02-04#,#2012-11-03#,"wgEncodeEH002821","GSM935299","Snyder","Stanford","PeakSeq1.0","d912dafda596576ebe54146c24eaf24d",,,"wgEncode",,"exp","408M",,5541,,"wgEncodeSydhTfbsA549Pol2s2IggrabSig","None","bigWig","Signal","wgEncodeSydhTfbsA549Pol2s2IggrabSig.bigWig","wgEncodeSydhTfbsA549Pol2s2IggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsA549Pol2s2IggrabSig.bigWig"
"Rad21","A549","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH002819","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-02-04#,#2012-11-03#,"wgEncodeEH002822","GSM935300","Snyder","Stanford","PeakSeq1.0","44c2e53cbe9efb147cd2bba28129e945",,,"wgEncode",,"exp","607K",,5542,,"wgEncodeSydhTfbsA549Rad21IggrabPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsA549Rad21IggrabPk.narrowPeak.gz","wgEncodeSydhTfbsA549Rad21IggrabPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsA549Rad21IggrabPk.narrowPeak.gz"
"Rad21","A549","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH002819","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-02-04#,#2012-11-03#,"wgEncodeEH002822","GSM935300","Snyder","Stanford","PeakSeq1.0","a9fad45e1334e24dd23744ef7babd167",,,"wgEncode",,"exp","419M",,5542,,"wgEncodeSydhTfbsA549Rad21IggrabSig","None","bigWig","Signal","wgEncodeSydhTfbsA549Rad21IggrabSig.bigWig","wgEncodeSydhTfbsA549Rad21IggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsA549Rad21IggrabSig.bigWig"
"Input","GM08714","wgEncodeSydhTfbs","UCDavis","wgEncodeEH002870","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-04-19#,#2013-01-19#,"wgEncodeEH002870","GSM935607","Snyder","USC","PeakSeq1.0","fe6710be2f3d384e99a21d1b1e59dc3a",,,"wgEncode",,"input","350M",,6818,,"wgEncodeSydhTfbsGm08714InputUcdSig","None","bigWig","Signal","wgEncodeSydhTfbsGm08714InputUcdSig.bigWig","wgEncodeSydhTfbsGm08714InputUcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm08714InputUcdSig.bigWig"
"ZNF274","GM08714","wgEncodeSydhTfbs","UCDavis","wgEncodeEH002870","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-29#,#2012-12-29#,"wgEncodeEH002866","GSM935329","Snyder","USC","PeakSeq1.0","218e2d1f62d7e845fd0d3982dce9791f",,,"wgEncode",,"exp","26K",,6569,,"wgEncodeSydhTfbsGm08714Znf274UcdPk","None","narrowPeak","Peaks","wgEncodeSydhTfbsGm08714Znf274UcdPk.narrowPeak.gz","wgEncodeSydhTfbsGm08714Znf274UcdPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm08714Znf274UcdPk.narrowPeak.gz"
"ZNF274","GM08714","wgEncodeSydhTfbs","UCDavis","wgEncodeEH002870","ChipSeq","ENCODE Mar 2012 Freeze",,#2012-03-29#,#2012-12-29#,"wgEncodeEH002866","GSM935329","Snyder","USC","PeakSeq1.0","4337a6075fbcabf3de5926571c828cfc",,,"wgEncode",,"exp","343M",,6569,,"wgEncodeSydhTfbsGm08714Znf274UcdSig","None","bigWig","Signal","wgEncodeSydhTfbsGm08714Znf274UcdSig.bigWig","wgEncodeSydhTfbsGm08714Znf274UcdSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm08714Znf274UcdSig.bigWig"
"Input","GM10847","wgEncodeSydhTfbs","IgG-mus","wgEncodeEH000728","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000728","GSM935639","Snyder","Stanford",,"44135f68948374c71ed4c0295757e334",,"hg18","wgEncode",,"input","294M",,3053,,"wgEncodeSydhTfbsGm10847InputIggmusSig","None","bigWig","Signal","wgEncodeSydhTfbsGm10847InputIggmusSig.bigWig","wgEncodeSydhTfbsGm10847InputIggmusSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm10847InputIggmusSig.bigWig"
"Input","GM10847","wgEncodeSydhTfbs","IgG-rab","wgEncodeEH000770","ChipSeq","ENCODE Jan 2011 Freeze",,#2010-12-02#,#2011-09-01#,"wgEncodeEH000770","GSM935451","Snyder","Stanford",,"a531f91623ce674f363248ccbc068e8f",,"hg18","wgEncode",,"input","282M",,3053,,"wgEncodeSydhTfbsGm10847InputTnfaIggrabSig","TNFa","bigWig","Signal","wgEncodeSydhTfbsGm10847InputTnfaIggrabSig.bigWig","wgEncodeSydhTfbsGm10847InputTnfaIggrabSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhTfbs/wgEncodeSydhTfbsGm10847InputTnfaIggrabSig.bigWig"
