cell_line.hCAGE-acute lymphoblastic leukemia (B-ALL) cell line:NALM-6.CNhs11282.10534-107G3.hg19.ctss.bed	acute_20lymphoblastic_20leukemia_20_28B_ALL_29_20cell_20line_3aNALM_6_CNhs11282_10534_107G3_hg19_ctss
cell_line.hCAGE-acute lymphoblastic leukemia (T-ALL) cell line:HPB-ALL.CNhs10746.10429-106D6.hg19.ctss.bed	acute_20lymphoblastic_20leukemia_20_28T_ALL_29_20cell_20line_3aHPB_ALL_CNhs10746_10429_106D6_hg19_ctss
cell_line.hCAGE-acute lymphoblastic leukemia (T-ALL) cell line:Jurkat.CNhs11253.10464-106H5.hg19.ctss.bed	acute_20lymphoblastic_20leukemia_20_28T_ALL_29_20cell_20line_3aJurkat_CNhs11253_10464_106H5_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M0) cell line:KG-1.CNhs13053.10827-111C8.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M0_29_20cell_20line_3aKG_1_CNhs13053_10827_111C8_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M1) cell line:HYT-1.CNhs13054.10828-111C9.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M1_29_20cell_20line_3aHYT_1_CNhs13054_10828_111C9_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M2) cell line:Kasumi-1.CNhs13502.10788-110H5.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M2_29_20cell_20line_3aKasumi_1_CNhs13502_10788_110H5_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M2) cell line:Kasumi-6.CNhs13052.10792-110H9.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M2_29_20cell_20line_3aKasumi_6_CNhs13052_10792_110H9_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M2) cell line:NKM-1.CNhs11864.10765-110E9.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M2_29_20cell_20line_3aNKM_1_CNhs11864_10765_110E9_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M3) cell line:HL60.CNhs13055.10829-111D1.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M3_29_20cell_20line_3aHL60_CNhs13055_10829_111D1_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M4) cell line:FKH-1.CNhs13503.10830-111D2.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M4_29_20cell_20line_3aFKH_1_CNhs13503_10830_111D2_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M4) cell line:HNT-34.CNhs13504.10831-111D3.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M4_29_20cell_20line_3aHNT_34_CNhs13504_10831_111D3_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M4eo) cell line:EoL-1.CNhs13056.10832-111D4.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M4eo_29_20cell_20line_3aEoL_1_CNhs13056_10832_111D4_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M4eo) cell line:EoL-3.CNhs13057.10833-111D5.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M4eo_29_20cell_20line_3aEoL_3_CNhs13057_10833_111D5_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M5) cell line:NOMO-1.CNhs13050.10764-110E8.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M5_29_20cell_20line_3aNOMO_1_CNhs13050_10764_110E8_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M5) cell line:P31/FUJ.CNhs13051.10770-110F5.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M5_29_20cell_20line_3aP31_2fFUJ_CNhs13051_10770_110F5_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M5) cell line:THP-1 (fresh).CNhs10722.10399-106A3.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M5_29_20cell_20line_3aTHP_1_20_28fresh_29_CNhs10722_10399_106A3_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M5) cell line:THP-1 (revived).CNhs10723.10400-106A4.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M5_29_20cell_20line_3aTHP_1_20_28revived_29_CNhs10723_10400_106A4_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M5) cell line:THP-1 (thawed).CNhs10724.10405-106A9.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M5_29_20cell_20line_3aTHP_1_20_28thawed_29_CNhs10724_10405_106A9_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M5) cell line:U-937 DE-4.CNhs13058.10834-111D6.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M5_29_20cell_20line_3aU_937_20DE_4_CNhs13058_10834_111D6_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M6) cell line:EEB.CNhs13059.10835-111D7.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M6_29_20cell_20line_3aEEB_CNhs13059_10835_111D7_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M6) cell line:F-36E.CNhs13060.10836-111D8.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M6_29_20cell_20line_3aF_36E_CNhs13060_10836_111D8_hg19_ctss
cell_line.hCAGE-acute myeloid leukemia (FAB M6) cell line:F-36P.CNhs13505.10837-111D9.hg19.ctss.bed	acute_20myeloid_20leukemia_20_28FAB_20M6_29_20cell_20line_3aF_36P_CNhs13505_10837_111D9_hg19_ctss
